时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,随机搜索,随机搜索,0.0000,0.0000,97,97,否,否,3.00,600,400
1,随机搜索,随机搜索,0.0000,0.0000,98,94,否,否,6.00,600,400
2,随机搜索,随机搜索,0.0000,0.0000,98,91,否,否,9.00,600,400
3,随机搜索,随机搜索,0.0000,0.0000,98,88,否,否,12.00,600,400
4,随机搜索,随机搜索,0.0000,0.0000,98,85,否,否,15.00,600,400
5,随机搜索,随机搜索,0.0000,0.0000,98,82,否,否,18.00,600,400
6,随机搜索,随机搜索,0.0000,0.0000,98,79,否,否,21.00,600,400
7,随机搜索,随机搜索,0.0000,0.0000,98,76,否,否,24.00,600,400
8,随机搜索,随机搜索,0.0000,0.0000,98,73,否,否,27.00,600,400
9,随机搜索,随机搜索,0.0000,0.0000,98,70,否,否,30.00,600,400
10,随机搜索,随机搜索,0.0000,0.0000,98,67,否,否,33.00,600,400
11,随机搜索,随机搜索,0.0000,0.0000,98,64,否,否,36.00,600,400
12,随机搜索,随机搜索,0.0000,0.0000,98,61,否,否,39.00,600,400
13,随机搜索,随机搜索,0.0000,0.0000,98,58,否,否,42.00,600,400
14,随机搜索,随机搜索,0.0000,0.0000,98,55,否,否,45.00,600,400
15,随机搜索,随机搜索,0.0000,0.0000,98,52,否,否,48.00,600,400
16,随机搜索,随机搜索,0.0000,0.0000,98,49,否,否,51.00,600,400
17,随机搜索,随机搜索,0.0000,0.0000,99,46,否,否,54.00,600,400
18,随机搜索,随机搜索,0.0000,0.0000,101,44,否,否,57.00,600,400
19,随机搜索,随机搜索,0.0000,0.0000,103,42,否,否,60.00,600,400
20,随机搜索,随机搜索,0.0000,0.0000,105,40,否,否,63.00,600,400
21,随机搜索,随机搜索,0.0000,0.0000,108,38,否,否,66.00,600,400
22,随机搜索,随机搜索,0.0000,0.0000,110,36,否,否,69.00,600,400
23,随机搜索,随机搜索,0.0000,0.0000,112,34,否,否,72.00,600,400
24,随机搜索,随机搜索,0.0000,0.0000,114,32,否,否,75.00,600,400
25,随机搜索,随机搜索,0.0000,0.0000,116,30,否,否,78.00,600,400
26,随机搜索,随机搜索,0.0000,0.0000,118,28,否,否,81.00,600,400
27,随机搜索,随机搜索,0.0000,0.0000,121,25,否,否,84.00,600,400
28,随机搜索,随机搜索,0.0000,0.0000,123,23,否,否,87.00,600,400
29,随机搜索,随机搜索,0.0000,0.0000,125,21,否,否,90.00,600,400
30,随机搜索,随机搜索,0.0000,0.0000,127,19,否,否,93.00,600,400
31,随机搜索,随机搜索,0.0000,0.0000,129,17,否,否,96.00,600,400
32,随机搜索,随机搜索,0.0000,0.0000,131,15,否,否,99.00,600,400
33,随机搜索,随机搜索,0.0000,0.0000,133,13,否,否,102.00,600,400
34,随机搜索,随机搜索,0.0000,0.0000,136,11,否,否,105.00,600,400
35,随机搜索,随机搜索,0.0000,0.0000,138,9,否,否,108.00,600,400
36,随机搜索,随机搜索,0.0000,0.0000,140,7,否,否,111.00,600,400
37,随机搜索,随机搜索,0.0000,0.0000,142,5,否,否,114.00,600,400
38,随机搜索,随机搜索,0.0000,0.0000,144,2,否,否,117.00,600,400
39,随机搜索,随机搜索,0.0000,0.0000,146,0,否,否,120.00,600,400
40,随机搜索,随机搜索,0.0000,0.0000,148,2,否,否,123.00,600,400
41,随机搜索,随机搜索,0.0000,0.0000,151,5,否,否,126.00,600,400
42,随机搜索,随机搜索,0.0000,0.0000,153,7,否,否,129.00,600,400
43,随机搜索,随机搜索,0.0000,0.0000,155,9,否,否,132.00,600,400
44,随机搜索,随机搜索,0.0000,0.0000,157,11,否,否,135.00,600,400
45,随机搜索,随机搜索,0.0000,0.0000,159,13,否,否,138.00,600,400
46,随机搜索,随机搜索,0.0000,0.0000,161,15,否,否,141.00,600,400
47,随机搜索,随机搜索,0.0000,0.0000,164,17,否,否,144.00,600,400
48,随机搜索,随机搜索,0.0000,0.0000,166,19,否,否,147.00,600,400
49,随机搜索,随机搜索,0.0000,0.0000,168,21,否,否,150.00,600,400
50,随机搜索,随机搜索,0.0000,0.0000,170,23,否,否,153.00,600,400
51,随机搜索,随机搜索,0.0000,0.0000,172,25,否,否,156.00,600,400
52,随机搜索,随机搜索,0.0000,0.0000,174,28,否,否,159.00,600,400
53,随机搜索,随机搜索,0.0000,0.0000,176,30,否,否,162.00,600,400
54,随机搜索,随机搜索,0.0000,0.0000,179,32,否,否,165.00,600,400
55,随机搜索,随机搜索,0.0000,0.0000,181,34,否,否,168.00,600,400
56,随机搜索,随机搜索,0.0000,0.0000,183,36,否,否,171.00,600,400
57,随机搜索,随机搜索,0.0000,0.0000,185,38,否,否,174.00,600,400
58,随机搜索,随机搜索,0.0000,0.0000,187,40,否,否,177.00,600,400
59,随机搜索,随机搜索,0.0000,0.0000,189,42,否,否,180.00,600,400
60,随机搜索,随机搜索,0.0000,0.0000,191,44,否,否,183.00,600,400
61,随机搜索,随机搜索,0.0000,0.0000,194,46,否,否,186.00,600,400
62,随机搜索,随机搜索,0.0000,0.0000,196,48,否,否,189.00,600,400
63,随机搜索,随机搜索,0.0000,0.0000,198,51,否,否,192.00,600,400
64,随机搜索,随机搜索,0.0000,0.0000,200,53,否,否,195.00,600,400
65,随机搜索,随机搜索,0.0000,0.0000,202,55,否,否,198.00,600,400
66,随机搜索,随机搜索,0.0000,0.0000,205,55,否,否,201.00,600,400
67,随机搜索,随机搜索,0.0000,0.0000,208,56,否,否,204.00,600,400
68,随机搜索,随机搜索,0.0000,0.0000,211,56,否,否,207.00,600,400
69,随机搜索,随机搜索,0.0000,0.0000,214,57,否,否,210.00,600,400
70,随机搜索,随机搜索,0.0000,0.0000,217,57,否,否,213.00,600,400
71,随机搜索,随机搜索,0.0000,0.0000,220,58,否,否,216.00,600,400
72,随机搜索,随机搜索,0.0000,0.0000,223,58,否,否,219.00,600,400
73,随机搜索,随机搜索,0.0000,0.0000,226,59,否,否,222.00,600,400
74,随机搜索,随机搜索,0.0000,0.0000,229,59,否,否,225.00,600,400
75,随机搜索,随机搜索,0.0000,0.0000,232,60,否,否,228.00,600,400
76,随机搜索,随机搜索,0.0000,0.0000,235,60,否,否,231.00,600,400
77,随机搜索,随机搜索,0.0000,0.0000,238,61,否,否,234.00,600,400
78,随机搜索,随机搜索,0.0000,0.0000,241,62,否,否,237.00,600,400
79,随机搜索,随机搜索,0.0000,0.0000,244,62,否,否,240.00,600,400
80,随机搜索,随机搜索,0.0000,0.0000,247,63,否,否,243.00,600,400
81,随机搜索,随机搜索,0.0000,0.0000,250,63,否,否,246.00,600,400
82,随机搜索,随机搜索,0.0000,0.0000,252,63,否,否,249.00,600,400
83,随机搜索,随机搜索,0.0000,0.0000,255,64,否,否,252.00,600,400
84,随机搜索,随机搜索,0.0000,0.0000,258,64,否,否,255.00,600,400
85,随机搜索,随机搜索,0.0000,0.0000,261,64,否,否,258.00,600,400
86,随机搜索,随机搜索,0.0000,0.0000,264,65,否,否,261.00,600,400
87,随机搜索,随机搜索,0.0000,0.0000,267,65,否,否,264.00,600,400
88,随机搜索,随机搜索,0.0000,0.0000,270,65,否,否,267.00,600,400
89,随机搜索,随机搜索,0.0000,0.0000,273,66,否,否,270.00,600,400
90,随机搜索,随机搜索,0.0000,0.0000,276,66,否,否,273.00,600,400
91,随机搜索,随机搜索,0.0000,0.0000,279,67,否,否,276.00,600,400
