时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,随机搜索,随机搜索,0.0000,0.0000,97,99,否,否,3.00,600,400
1,随机搜索,随机搜索,0.0000,0.0000,94,99,否,否,6.00,600,400
2,随机搜索,随机搜索,0.0000,0.0000,91,99,否,否,9.00,600,400
3,随机搜索,随机搜索,0.0000,0.0000,88,98,否,否,12.00,600,400
4,随机搜索,随机搜索,0.0000,0.0000,85,98,否,否,15.00,600,400
5,随机搜索,随机搜索,0.0000,0.0000,82,98,否,否,18.00,600,400
6,随机搜索,随机搜索,0.0000,0.0000,79,97,否,否,21.00,600,400
7,随机搜索,随机搜索,0.0000,0.0000,76,96,否,否,24.00,600,400
8,随机搜索,随机搜索,0.0000,0.0000,73,96,否,否,27.00,600,400
9,随机搜索,随机搜索,0.0000,0.0000,70,96,否,否,30.00,600,400
10,随机搜索,随机搜索,0.0000,0.0000,67,95,否,否,33.00,600,400
11,随机搜索,随机搜索,0.0000,0.0000,64,95,否,否,36.00,600,400
12,随机搜索,随机搜索,0.0000,0.0000,61,95,否,否,39.00,600,400
13,随机搜索,随机搜索,0.0000,0.0000,58,95,否,否,42.00,600,400
14,随机搜索,随机搜索,0.0000,0.0000,55,94,否,否,45.00,600,400
15,随机搜索,随机搜索,0.0000,0.0000,52,94,否,否,48.00,600,400
16,随机搜索,随机搜索,0.0000,0.0000,49,94,否,否,51.00,600,400
17,随机搜索,随机搜索,0.0000,0.0000,46,94,否,否,54.00,600,400
18,随机搜索,随机搜索,0.0000,0.0000,43,93,否,否,57.00,600,400
19,随机搜索,随机搜索,0.0000,0.0000,40,93,否,否,60.00,600,400
20,随机搜索,随机搜索,0.0000,0.0000,37,93,否,否,63.00,600,400
21,随机搜索,随机搜索,0.0000,0.0000,34,92,否,否,66.00,600,400
22,随机搜索,随机搜索,0.0000,0.0000,31,92,否,否,69.00,600,400
23,随机搜索,随机搜索,0.0000,0.0000,28,92,否,否,72.00,600,400
24,随机搜索,随机搜索,0.0000,0.0000,25,92,否,否,75.00,600,400
25,随机搜索,随机搜索,0.0000,0.0000,22,91,否,否,78.00,600,400
26,随机搜索,随机搜索,0.0000,0.0000,19,91,否,否,81.00,600,400
27,随机搜索,随机搜索,0.0000,0.0000,17,89,否,否,84.00,600,400
28,随机搜索,随机搜索,0.0000,0.0000,15,87,否,否,87.00,600,400
29,随机搜索,随机搜索,0.0000,0.0000,13,84,否,否,90.00,600,400
30,随机搜索,随机搜索,0.0000,0.0000,11,82,否,否,93.00,600,400
31,随机搜索,随机搜索,0.0000,0.0000,9,80,否,否,96.00,600,400
32,随机搜索,随机搜索,0.0000,0.0000,8,77,否,否,99.00,600,400
33,随机搜索,随机搜索,0.0000,0.0000,6,75,否,否,102.00,600,400
34,随机搜索,随机搜索,0.0000,0.0000,4,73,否,否,105.00,600,400
35,随机搜索,随机搜索,0.0000,0.0000,2,71,否,否,108.00,600,400
36,随机搜索,随机搜索,0.0000,0.0000,0,68,否,否,111.00,600,400
37,随机搜索,随机搜索,0.0000,0.0000,2,66,否,否,114.00,600,400
38,随机搜索,随机搜索,0.0000,0.0000,4,64,否,否,117.00,600,400
39,随机搜索,随机搜索,0.0000,0.0000,6,61,否,否,120.00,600,400
40,随机搜索,随机搜索,0.0000,0.0000,8,59,否,否,123.00,600,400
41,随机搜索,随机搜索,0.0000,0.0000,9,57,否,否,126.00,600,400
42,随机搜索,随机搜索,0.0000,0.0000,11,54,否,否,129.00,600,400
43,随机搜索,随机搜索,0.0000,0.0000,13,52,否,否,132.00,600,400
44,随机搜索,随机搜索,0.0000,0.0000,15,50,否,否,135.00,600,400
45,随机搜索,随机搜索,0.0000,0.0000,17,48,否,否,138.00,600,400
46,随机搜索,随机搜索,0.0000,0.0000,19,45,否,否,141.00,600,400
47,随机搜索,随机搜索,0.0000,0.0000,20,43,否,否,144.00,600,400
48,随机搜索,随机搜索,0.0000,0.0000,22,40,否,否,147.00,600,400
49,随机搜索,随机搜索,0.0000,0.0000,23,37,否,否,150.00,600,400
50,随机搜索,随机搜索,0.0000,0.0000,24,34,否,否,153.00,600,400
51,随机搜索,随机搜索,0.0000,0.0000,25,32,否,否,156.00,600,400
52,随机搜索,随机搜索,0.0000,0.0000,27,29,否,否,159.00,600,400
53,随机搜索,随机搜索,0.0000,0.0000,28,26,否,否,162.00,600,400
54,随机搜索,随机搜索,0.0000,0.0000,29,23,否,否,165.00,600,400
55,随机搜索,随机搜索,0.0000,0.0000,30,21,否,否,168.00,600,400
56,随机搜索,随机搜索,0.0000,0.0000,32,18,否,否,171.00,600,400
57,随机搜索,随机搜索,0.0000,0.0000,33,15,否,否,174.00,600,400
58,随机搜索,随机搜索,0.0000,0.0000,34,13,否,否,177.00,600,400
59,随机搜索,随机搜索,0.0000,0.0000,35,10,否,否,180.00,600,400
60,随机搜索,随机搜索,0.0000,0.0000,37,7,否,否,183.00,600,400
61,随机搜索,随机搜索,0.0000,0.0000,38,4,否,否,186.00,600,400
62,随机搜索,随机搜索,0.0000,0.0000,39,2,否,否,189.00,600,400
63,随机搜索,随机搜索,0.0000,0.0000,40,4,否,否,192.00,600,400
64,随机搜索,随机搜索,0.0000,0.0000,41,7,否,否,195.00,600,400
65,随机搜索,随机搜索,0.0000,0.0000,43,10,否,否,198.00,600,400
66,随机搜索,随机搜索,0.0000,0.0000,44,13,否,否,201.00,600,400
67,随机搜索,随机搜索,0.0000,0.0000,43,15,否,否,204.00,600,400
68,随机搜索,随机搜索,0.0000,0.0000,42,18,否,否,207.00,600,400
69,随机搜索,随机搜索,0.0000,0.0000,41,21,否,否,210.00,600,400
70,随机搜索,随机搜索,0.0000,0.0000,40,24,否,否,213.00,600,400
71,随机搜索,随机搜索,0.0000,0.0000,39,27,否,否,216.00,600,400
72,随机搜索,随机搜索,0.0000,0.0000,38,29,否,否,219.00,600,400
73,随机搜索,随机搜索,0.0000,0.0000,37,32,否,否,222.00,600,400
74,随机搜索,随机搜索,0.0000,0.0000,36,35,否,否,225.00,600,400
75,随机搜索,随机搜索,0.0000,0.0000,35,38,否,否,228.00,600,400
76,随机搜索,随机搜索,0.0000,0.0000,34,41,否,否,231.00,600,400
77,随机搜索,随机搜索,0.0000,0.0000,33,44,否,否,234.00,600,400
78,随机搜索,随机搜索,0.0000,0.0000,32,46,否,否,237.00,600,400
79,随机搜索,随机搜索,0.0000,0.0000,31,49,否,否,240.00,600,400
80,随机搜索,随机搜索,0.0000,0.0000,30,52,否,否,243.00,600,400
81,随机搜索,随机搜索,0.0000,0.0000,29,55,否,否,246.00,600,400
82,随机搜索,随机搜索,0.0000,0.0000,28,58,否,否,249.00,600,400
83,随机搜索,随机搜索,0.0000,0.0000,27,61,否,否,252.00,600,400
84,随机搜索,随机搜索,0.0000,0.0000,26,63,否,否,255.00,600,400
85,随机搜索,随机搜索,0.0000,0.0000,25,66,否,否,258.00,600,400
86,随机搜索,随机搜索,0.0000,0.0000,24,69,否,否,261.00,600,400
87,随机搜索,随机搜索,0.0000,0.0000,23,72,否,否,264.00,600,400
88,随机搜索,随机搜索,0.0000,0.0000,22,75,否,否,267.00,600,400
89,随机搜索,随机搜索,0.0000,0.0000,21,77,否,否,270.00,600,400
90,随机搜索,随机搜索,0.0000,0.0000,20,80,否,否,273.00,600,400
91,随机搜索,随机搜索,0.0000,0.0000,19,83,否,否,276.00,600,400
92,随机搜索,随机搜索,0.0000,0.0000,18,86,否,否,279.00,600,400
93,随机搜索,随机搜索,0.0000,0.0000,17,89,否,否,282.00,600,400
94,随机搜索,随机搜索,0.0000,0.0000,16,92,否,否,285.00,600,400
95,随机搜索,随机搜索,0.0000,0.0000,15,94,否,否,288.00,600,400
96,随机搜索,随机搜索,0.0000,0.0000,14,97,否,否,291.00,600,400
97,随机搜索,随机搜索,0.0000,0.0000,13,100,否,否,294.00,600,400
98,随机搜索,随机搜索,0.0000,0.0000,12,103,否,否,297.00,600,400
99,随机搜索,随机搜索,0.0000,0.0000,12,106,否,否,300.00,600,400
100,随机搜索,随机搜索,0.0000,0.0000,11,109,否,否,303.00,600,400
101,随机搜索,随机搜索,0.0000,0.0000,10,112,否,否,306.00,600,400
102,随机搜索,随机搜索,0.0000,0.0000,9,115,否,否,309.00,600,400
103,随机搜索,随机搜索,0.0000,0.0000,8,118,否,否,312.00,600,400
104,随机搜索,随机搜索,0.0000,0.0000,8,120,否,否,315.00,600,400
105,随机搜索,随机搜索,0.0000,0.0000,7,123,否,否,318.00,600,400
106,随机搜索,随机搜索,0.0000,0.0000,6,126,否,否,321.00,600,400
107,随机搜索,随机搜索,0.0000,0.0000,5,129,否,否,324.00,600,400
108,随机搜索,随机搜索,0.0000,0.0000,5,132,否,否,327.00,600,400
109,随机搜索,随机搜索,0.0000,0.0000,4,135,否,否,330.00,600,400
110,随机搜索,随机搜索,0.0000,0.0000,3,138,否,否,333.00,600,400
111,随机搜索,随机搜索,0.0000,0.0000,2,141,否,否,336.00,600,400
112,随机搜索,随机搜索,0.0000,0.0000,1,144,否,否,339.00,600,400
113,随机搜索,随机搜索,0.0000,0.0000,1,147,否,否,342.00,600,400
114,随机搜索,随机搜索,0.0000,0.0000,0,149,否,否,345.00,600,400
115,随机搜索,随机搜索,0.0000,0.0000,1,152,否,否,348.00,600,400
116,随机搜索,随机搜索,0.0000,0.0000,1,155,否,否,351.00,600,400
117,随机搜索,随机搜索,0.0000,0.0000,2,158,否,否,354.00,600,400
118,随机搜索,随机搜索,0.0000,0.0000,3,161,否,否,357.00,600,400
119,随机搜索,随机搜索,0.0000,0.0000,4,164,否,否,360.00,600,400
120,随机搜索,随机搜索,0.0000,0.0000,5,167,否,否,363.00,600,400
121,随机搜索,随机搜索,0.0000,0.0000,5,170,否,否,366.00,600,400
122,随机搜索,随机搜索,0.0000,0.0000,6,173,否,否,369.00,600,400
123,随机搜索,随机搜索,0.0000,0.0000,7,176,否,否,372.00,600,400
124,随机搜索,随机搜索,0.0000,0.0000,8,178,否,否,375.00,600,400
125,随机搜索,随机搜索,0.0000,0.0000,8,181,否,否,378.00,600,400
126,随机搜索,随机搜索,0.0000,0.0000,9,184,否,否,381.00,600,400
127,随机搜索,随机搜索,0.0000,0.0000,10,187,否,否,384.00,600,400
128,随机搜索,随机搜索,0.0000,0.0000,11,190,否,否,387.00,600,400
129,随机搜索,随机搜索,0.0000,0.0000,12,193,否,否,390.00,600,400
130,随机搜索,随机搜索,0.0000,0.0000,12,196,否,否,393.00,600,400
131,随机搜索,随机搜索,0.0000,0.0000,13,199,否,否,396.00,600,400
132,随机搜索,随机搜索,0.0000,0.0000,14,202,否,否,399.00,600,400
133,随机搜索,随机搜索,0.0000,0.0000,15,205,否,否,402.00,600,400
134,随机搜索,随机搜索,0.0000,0.0000,15,207,否,否,405.00,600,400
135,随机搜索,随机搜索,0.0000,0.0000,16,210,否,否,408.00,600,400
136,随机搜索,随机搜索,0.0000,0.0000,17,213,否,否,411.00,600,400
137,随机搜索,随机搜索,0.0000,0.0000,18,216,否,否,414.00,600,400
138,随机搜索,随机搜索,0.0000,0.0000,19,219,否,否,417.00,600,400
139,随机搜索,随机搜索,0.0000,0.0000,19,222,否,否,420.00,600,400
140,随机搜索,随机搜索,0.0000,0.0000,20,225,否,否,423.00,600,400
141,随机搜索,随机搜索,0.0000,0.0000,21,228,否,否,426.00,600,400
142,随机搜索,随机搜索,0.0000,0.0000,22,231,否,否,429.00,600,400
143,随机搜索,随机搜索,0.0000,0.0000,22,233,否,否,432.00,600,400
144,随机搜索,随机搜索,0.0000,0.0000,23,236,否,否,435.00,600,400
145,随机搜索,随机搜索,0.0000,0.0000,24,239,否,否,438.00,600,400
146,随机搜索,随机搜索,0.0000,0.0000,25,242,否,否,441.00,600,400
147,随机搜索,随机搜索,0.0000,0.0000,26,245,否,否,444.00,600,400
148,随机搜索,随机搜索,0.0000,0.0000,26,248,否,否,447.00,600,400
149,随机搜索,随机搜索,0.0000,0.0000,27,251,否,否,450.00,600,400
150,随机搜索,随机搜索,0.0000,0.0000,28,254,否,否,453.00,600,400
151,随机搜索,随机搜索,0.0000,0.0000,29,257,否,否,456.00,600,400
152,随机搜索,随机搜索,0.0000,0.0000,29,260,否,否,459.00,600,400
153,随机搜索,随机搜索,0.0000,0.0000,30,262,否,否,462.00,600,400
154,随机搜索,随机搜索,0.0000,0.0000,31,265,否,否,465.00,600,400
155,随机搜索,随机搜索,0.0000,0.0000,32,268,否,否,468.00,600,400
156,随机搜索,随机搜索,0.0000,0.0000,33,271,否,否,471.00,600,400
157,随机搜索,随机搜索,0.0000,0.0000,33,274,否,否,474.00,600,400
