时间帧,x坐标,y坐标,累计距离,已发现目标数,是否完成
0,49,692,3.0,0,0
1,51,690,6.0,0,0
2,53,687,9.0,0,0
3,54,685,12.0,0,0
4,56,683,15.0,0,0
5,59,681,18.0,0,0
6,60,678,21.0,0,0
7,61,675,24.0,0,0
8,62,672,27.0,0,0
9,64,670,30.0,0,0
10,66,668,33.0,0,0
11,68,665,36.0,0,0
12,68,662,39.0,0,0
13,69,659,42.0,0,0
14,72,658,45.0,0,0
15,73,655,48.0,0,0
16,74,652,51.0,0,0
17,76,650,54.0,0,0
18,77,647,57.0,0,0
19,79,645,60.0,0,0
20,81,643,63.0,0,0
21,84,641,66.0,0,0
22,87,640,69.0,0,0
23,89,639,72.0,0,0
24,91,636,75.0,0,0
25,92,633,78.0,0,0
26,94,631,81.0,0,0
27,95,628,84.0,0,0
28,98,626,87.0,0,0
29,98,623,90.0,0,0
30,101,622,93.0,0,0
31,103,621,96.0,0,0
32,106,619,99.0,0,0
33,107,616,102.0,0,0
34,109,614,105.0,0,0
35,110,611,108.0,0,0
36,112,609,111.0,0,0
37,115,608,114.0,0,0
38,115,605,117.0,0,0
39,117,603,120.0,0,0
40,120,602,123.0,0,0
41,123,600,126.0,0,0
42,126,599,129.0,0,0
43,127,596,132.0,0,0
44,128,594,135.0,0,0
45,130,591,138.0,0,0
46,131,589,141.0,0,0
47,133,586,144.0,0,0
48,134,583,147.0,0,0
49,136,581,150.0,0,0
50,138,579,153.0,0,0
51,139,576,156.0,0,0
52,140,574,159.0,0,0
53,143,572,162.0,0,0
54,145,570,165.0,0,0
55,148,569,168.0,0,0
56,150,567,171.0,0,0
57,151,564,174.0,0,0
58,153,562,177.0,0,0
59,155,560,180.0,0,0
60,157,557,183.0,0,0
61,158,554,186.0,0,0
62,159,552,189.0,0,0
63,161,549,192.0,0,0
64,164,548,195.0,0,0
65,166,546,198.0,0,0
66,169,545,201.0,0,0
67,170,542,204.0,0,0
68,172,540,207.0,0,0
69,173,537,210.0,0,0
70,175,535,213.0,0,0
71,176,532,216.0,0,0
72,178,529,219.0,0,0
73,180,527,222.0,0,0
74,182,525,225.0,0,0
75,184,523,228.0,0,0
76,185,520,231.0,0,0
77,187,519,234.0,0,0
78,190,517,237.0,0,0
79,191,514,240.0,0,0
80,193,512,243.0,0,0
81,196,511,246.0,0,0
82,198,510,249.0,0,0
83,200,508,252.0,0,0
84,203,506,255.0,0,0
85,206,505,258.0,0,0
86,208,503,261.0,0,0
87,211,502,264.0,0,0
88,214,501,267.0,0,0
89,217,501,270.0,0,0
90,220,500,273.0,0,0
91,222,498,276.0,0,0
92,225,497,279.0,0,0
93,228,496,282.0,0,0
94,230,494,285.0,0,0
95,233,494,288.0,0,0
96,236,494,291.0,0,0
97,239,493,294.0,0,0
98,242,492,297.0,0,0
99,244,490,300.0,0,0
100,247,489,303.0,0,0
101,250,487,306.0,0,0
102,253,487,309.0,0,0
103,256,487,312.0,0,0
