时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,随机搜索,随机搜索,0.0000,0.0000,97,98,否,否,3.00,897,455
1,随机搜索,随机搜索,0.0000,0.0000,94,96,否,否,6.00,897,455
2,随机搜索,随机搜索,0.0000,0.0000,92,95,否,否,9.00,897,455
3,随机搜索,随机搜索,0.0000,0.0000,89,93,否,否,12.00,897,455
4,随机搜索,随机搜索,0.0000,0.0000,87,91,否,否,15.00,897,455
5,随机搜索,随机搜索,0.0000,0.0000,84,90,否,否,18.00,897,455
6,随机搜索,随机搜索,0.0000,0.0000,82,88,否,否,21.00,897,455
7,随机搜索,随机搜索,0.0000,0.0000,79,87,否,否,24.00,897,455
8,随机搜索,随机搜索,0.0000,0.0000,77,85,否,否,27.00,897,455
9,随机搜索,随机搜索,0.0000,0.0000,74,83,否,否,30.00,897,455
10,随机搜索,随机搜索,0.0000,0.0000,72,82,否,否,33.00,897,455
11,随机搜索,随机搜索,0.0000,0.0000,69,80,否,否,36.00,897,455
12,随机搜索,随机搜索,0.0000,0.0000,67,78,否,否,39.00,897,455
13,随机搜索,随机搜索,0.0000,0.0000,64,76,否,否,42.00,897,455
14,随机搜索,随机搜索,0.0000,0.0000,62,74,否,否,45.00,897,455
15,随机搜索,随机搜索,0.0000,0.0000,60,72,否,否,48.00,897,455
16,随机搜索,随机搜索,0.0000,0.0000,58,70,否,否,51.00,897,455
17,随机搜索,随机搜索,0.0000,0.0000,56,68,否,否,54.00,897,455
18,随机搜索,随机搜索,0.0000,0.0000,54,66,否,否,57.00,897,455
19,随机搜索,随机搜索,0.0000,0.0000,51,65,否,否,60.00,897,455
20,随机搜索,随机搜索,0.0000,0.0000,48,65,否,否,63.00,897,455
21,随机搜索,随机搜索,0.0000,0.0000,45,64,否,否,66.00,897,455
22,随机搜索,随机搜索,0.0000,0.0000,42,63,否,否,69.00,897,455
23,随机搜索,随机搜索,0.0000,0.0000,39,63,否,否,72.00,897,455
24,随机搜索,随机搜索,0.0000,0.0000,36,62,否,否,75.00,897,455
25,随机搜索,随机搜索,0.0000,0.0000,33,61,否,否,78.00,897,455
26,随机搜索,随机搜索,0.0000,0.0000,30,61,否,否,81.00,897,455
27,随机搜索,随机搜索,0.0000,0.0000,27,60,否,否,84.00,897,455
28,随机搜索,随机搜索,0.0000,0.0000,24,59,否,否,87.00,897,455
29,随机搜索,随机搜索,0.0000,0.0000,21,59,否,否,90.00,897,455
30,随机搜索,随机搜索,0.0000,0.0000,19,58,否,否,93.00,897,455
31,随机搜索,随机搜索,0.0000,0.0000,16,58,否,否,96.00,897,455
32,随机搜索,随机搜索,0.0000,0.0000,13,58,否,否,99.00,897,455
33,随机搜索,随机搜索,0.0000,0.0000,10,58,否,否,102.00,897,455
34,随机搜索,随机搜索,0.0000,0.0000,7,58,否,否,105.00,897,455
35,随机搜索,随机搜索,0.0000,0.0000,4,58,否,否,108.00,897,455
36,随机搜索,随机搜索,0.0000,0.0000,1,59,否,否,111.00,897,455
37,随机搜索,随机搜索,0.0000,0.0000,4,60,否,否,114.00,897,455
38,随机搜索,随机搜索,0.0000,0.0000,6,61,否,否,117.00,897,455
39,随机搜索,随机搜索,0.0000,0.0000,9,62,否,否,120.00,897,455
40,随机搜索,随机搜索,0.0000,0.0000,12,63,否,否,123.00,897,455
41,随机搜索,随机搜索,0.0000,0.0000,15,64,否,否,126.00,897,455
42,随机搜索,随机搜索,0.0000,0.0000,18,65,否,否,129.00,897,455
43,随机搜索,随机搜索,0.0000,0.0000,21,66,否,否,132.00,897,455
44,随机搜索,随机搜索,0.0000,0.0000,24,67,否,否,135.00,897,455
45,随机搜索,随机搜索,0.0000,0.0000,26,67,否,否,138.00,897,455
46,随机搜索,随机搜索,0.0000,0.0000,29,68,否,否,141.00,897,455
47,随机搜索,随机搜索,0.0000,0.0000,32,69,否,否,144.00,897,455
48,随机搜索,随机搜索,0.0000,0.0000,35,70,否,否,147.00,897,455
49,随机搜索,随机搜索,0.0000,0.0000,38,70,否,否,150.00,897,455
50,随机搜索,随机搜索,0.0000,0.0000,41,72,否,否,153.00,897,455
51,随机搜索,随机搜索,0.0000,0.0000,43,73,否,否,156.00,897,455
52,随机搜索,随机搜索,0.0000,0.0000,46,75,否,否,159.00,897,455
53,随机搜索,随机搜索,0.0000,0.0000,48,76,否,否,162.00,897,455
54,随机搜索,随机搜索,0.0000,0.0000,51,78,否,否,165.00,897,455
55,随机搜索,随机搜索,0.0000,0.0000,53,80,否,否,168.00,897,455
56,随机搜索,随机搜索,0.0000,0.0000,56,81,否,否,171.00,897,455
57,随机搜索,随机搜索,0.0000,0.0000,58,83,否,否,174.00,897,455
58,随机搜索,随机搜索,0.0000,0.0000,61,84,否,否,177.00,897,455
59,随机搜索,随机搜索,0.0000,0.0000,64,86,否,否,180.00,897,455
60,随机搜索,随机搜索,0.0000,0.0000,66,88,否,否,183.00,897,455
61,随机搜索,随机搜索,0.0000,0.0000,69,89,否,否,186.00,897,455
62,随机搜索,随机搜索,0.0000,0.0000,71,91,否,否,189.00,897,455
63,随机搜索,随机搜索,0.0000,0.0000,74,92,否,否,192.00,897,455
64,随机搜索,随机搜索,0.0000,0.0000,76,94,否,否,195.00,897,455
65,随机搜索,随机搜索,0.0000,0.0000,79,95,否,否,198.00,897,455
66,随机搜索,随机搜索,0.0000,0.0000,81,97,否,否,201.00,897,455
67,随机搜索,随机搜索,0.0000,0.0000,84,99,否,否,204.00,897,455
68,随机搜索,随机搜索,0.0000,0.0000,86,100,否,否,207.00,897,455
69,随机搜索,随机搜索,0.0000,0.0000,89,102,否,否,210.00,897,455
70,随机搜索,随机搜索,0.0000,0.0000,92,103,否,否,213.00,897,455
71,随机搜索,随机搜索,0.0000,0.0000,94,105,否,否,216.00,897,455
72,随机搜索,随机搜索,0.0000,0.0000,97,107,否,否,219.00,897,455
73,随机搜索,随机搜索,0.0000,0.0000,99,108,否,否,222.00,897,455
74,随机搜索,随机搜索,0.0000,0.0000,102,110,否,否,225.00,897,455
75,随机搜索,随机搜索,0.0000,0.0000,104,111,否,否,228.00,897,455
76,随机搜索,随机搜索,0.0000,0.0000,107,113,否,否,231.00,897,455
77,随机搜索,随机搜索,0.0000,0.0000,109,114,否,否,234.00,897,455
78,随机搜索,随机搜索,0.0000,0.0000,112,116,否,否,237.00,897,455
79,随机搜索,随机搜索,0.0000,0.0000,114,118,否,否,240.00,897,455
80,随机搜索,随机搜索,0.0000,0.0000,117,119,否,否,243.00,897,455
81,随机搜索,随机搜索,0.0000,0.0000,120,121,否,否,246.00,897,455
82,随机搜索,随机搜索,0.0000,0.0000,122,122,否,否,249.00,897,455
83,随机搜索,随机搜索,0.0000,0.0000,125,124,否,否,252.00,897,455
84,随机搜索,随机搜索,0.0000,0.0000,127,126,否,否,255.00,897,455
85,随机搜索,随机搜索,0.0000,0.0000,130,127,否,否,258.00,897,455
86,随机搜索,随机搜索,0.0000,0.0000,132,129,否,否,261.00,897,455
87,随机搜索,随机搜索,0.0000,0.0000,135,130,否,否,264.00,897,455
88,随机搜索,随机搜索,0.0000,0.0000,137,132,否,否,267.00,897,455
89,随机搜索,随机搜索,0.0000,0.0000,140,134,否,否,270.00,897,455
90,随机搜索,随机搜索,0.0000,0.0000,142,135,否,否,273.00,897,455
91,随机搜索,随机搜索,0.0000,0.0000,145,137,否,否,276.00,897,455
92,随机搜索,随机搜索,0.0000,0.0000,148,138,否,否,279.00,897,455
93,随机搜索,随机搜索,0.0000,0.0000,150,140,否,否,282.00,897,455
94,随机搜索,随机搜索,0.0000,0.0000,153,141,否,否,285.00,897,455
95,随机搜索,随机搜索,0.0000,0.0000,155,143,否,否,288.00,897,455
96,随机搜索,随机搜索,0.0000,0.0000,158,145,否,否,291.00,897,455
97,随机搜索,随机搜索,0.0000,0.0000,160,146,否,否,294.00,897,455
98,随机搜索,随机搜索,0.0000,0.0000,163,148,否,否,297.00,897,455
99,随机搜索,随机搜索,0.0000,0.0000,165,149,否,否,300.00,897,455
100,随机搜索,随机搜索,0.0000,0.0000,168,151,否,否,303.00,897,455
101,随机搜索,随机搜索,0.0000,0.0000,171,153,否,否,306.00,897,455
102,随机搜索,随机搜索,0.0000,0.0000,173,154,否,否,309.00,897,455
103,随机搜索,随机搜索,0.0000,0.0000,176,156,否,否,312.00,897,455
104,随机搜索,随机搜索,0.0000,0.0000,178,157,否,否,315.00,897,455
105,随机搜索,随机搜索,0.0000,0.0000,181,159,否,否,318.00,897,455
106,随机搜索,随机搜索,0.0000,0.0000,183,160,否,否,321.00,897,455
107,随机搜索,随机搜索,0.0000,0.0000,186,162,否,否,324.00,897,455
108,随机搜索,随机搜索,0.0000,0.0000,188,164,否,否,327.00,897,455
109,随机搜索,随机搜索,0.0000,0.0000,191,165,否,否,330.00,897,455
110,随机搜索,随机搜索,0.0000,0.0000,193,167,否,否,333.00,897,455
111,随机搜索,随机搜索,0.0000,0.0000,196,168,否,否,336.00,897,455
112,随机搜索,随机搜索,0.0000,0.0000,199,170,否,否,339.00,897,455
113,随机搜索,随机搜索,0.0000,0.0000,201,172,否,否,342.00,897,455
114,随机搜索,随机搜索,0.0000,0.0000,204,173,否,否,345.00,897,455
115,随机搜索,随机搜索,0.0000,0.0000,206,175,否,否,348.00,897,455
116,随机搜索,随机搜索,0.0000,0.0000,209,176,否,否,351.00,897,455
117,随机搜索,随机搜索,0.0000,0.0000,211,178,否,否,354.00,897,455
118,随机搜索,随机搜索,0.0000,0.0000,214,179,否,否,357.00,897,455
119,随机搜索,随机搜索,0.0000,0.0000,216,181,否,否,360.00,897,455
120,随机搜索,随机搜索,0.0000,0.0000,219,183,否,否,363.00,897,455
121,随机搜索,随机搜索,0.0000,0.0000,221,184,否,否,366.00,897,455
122,随机搜索,随机搜索,0.0000,0.0000,224,186,否,否,369.00,897,455
123,随机搜索,随机搜索,0.0000,0.0000,227,187,否,否,372.00,897,455
124,随机搜索,随机搜索,0.0000,0.0000,229,189,否,否,375.00,897,455
125,随机搜索,随机搜索,0.0000,0.0000,232,191,否,否,378.00,897,455
126,随机搜索,随机搜索,0.0000,0.0000,234,192,否,否,381.00,897,455
127,随机搜索,随机搜索,0.0000,0.0000,237,194,否,否,384.00,897,455
128,随机搜索,随机搜索,0.0000,0.0000,239,195,否,否,387.00,897,455
129,随机搜索,随机搜索,0.0000,0.0000,242,197,否,否,390.00,897,455
130,随机搜索,随机搜索,0.0000,0.0000,244,198,否,否,393.00,897,455
131,随机搜索,随机搜索,0.0000,0.0000,247,200,否,否,396.00,897,455
132,随机搜索,随机搜索,0.0000,0.0000,249,202,否,否,399.00,897,455
133,随机搜索,随机搜索,0.0000,0.0000,252,203,否,否,402.00,897,455
134,随机搜索,随机搜索,0.0000,0.0000,255,205,否,否,405.00,897,455
135,随机搜索,随机搜索,0.0000,0.0000,257,206,否,否,408.00,897,455
136,随机搜索,随机搜索,0.0000,0.0000,260,208,否,否,411.00,897,455
137,随机搜索,随机搜索,0.0000,0.0000,262,210,否,否,414.00,897,455
138,随机搜索,随机搜索,0.0000,0.0000,265,211,否,否,417.00,897,455
139,随机搜索,随机搜索,0.0000,0.0000,267,213,否,否,420.00,897,455
140,随机搜索,随机搜索,0.0000,0.0000,270,214,否,否,423.00,897,455
141,随机搜索,随机搜索,0.0000,0.0000,272,216,否,否,426.00,897,455
142,随机搜索,随机搜索,0.0000,0.0000,275,218,否,否,429.00,897,455
143,随机搜索,随机搜索,0.0000,0.0000,277,219,否,否,432.00,897,455
144,随机搜索,随机搜索,0.0000,0.0000,280,221,否,否,435.00,897,455
145,随机搜索,随机搜索,0.0000,0.0000,283,222,否,否,438.00,897,455
146,随机搜索,随机搜索,0.0000,0.0000,285,224,否,否,441.00,897,455
147,随机搜索,随机搜索,0.0000,0.0000,288,225,否,否,444.00,897,455
148,随机搜索,随机搜索,0.0000,0.0000,290,227,否,否,447.00,897,455
149,随机搜索,随机搜索,0.0000,0.0000,293,229,否,否,450.00,897,455
150,随机搜索,随机搜索,0.0000,0.0000,295,230,否,否,453.00,897,455
151,随机搜索,随机搜索,0.0000,0.0000,298,232,否,否,456.00,897,455
152,随机搜索,随机搜索,0.0000,0.0000,300,233,否,否,459.00,897,455
153,随机搜索,随机搜索,0.0000,0.0000,303,235,否,否,462.00,897,455
154,随机搜索,随机搜索,0.0000,0.0000,305,237,否,否,465.00,897,455
155,随机搜索,随机搜索,0.0000,0.0000,308,238,否,否,468.00,897,455
156,随机搜索,随机搜索,0.0000,0.0000,311,240,否,否,471.00,897,455
157,随机搜索,随机搜索,0.0000,0.0000,313,241,否,否,474.00,897,455
158,随机搜索,随机搜索,0.0000,0.0000,316,243,否,否,477.00,897,455
159,随机搜索,随机搜索,0.0000,0.0000,318,244,否,否,480.00,897,455
160,随机搜索,随机搜索,0.0000,0.0000,321,246,否,否,483.00,897,455
161,随机搜索,随机搜索,0.0000,0.0000,323,248,否,否,486.00,897,455
162,随机搜索,随机搜索,0.0000,0.0000,326,249,否,否,489.00,897,455
163,随机搜索,随机搜索,0.0000,0.0000,328,251,否,否,492.00,897,455
164,随机搜索,随机搜索,0.0000,0.0000,331,252,否,否,495.00,897,455
165,随机搜索,随机搜索,0.0000,0.0000,334,254,否,否,498.00,897,455
166,随机搜索,随机搜索,0.0000,0.0000,336,256,否,否,501.00,897,455
167,随机搜索,随机搜索,0.0000,0.0000,339,257,否,否,504.00,897,455
168,随机搜索,随机搜索,0.0000,0.0000,341,259,否,否,507.00,897,455
169,随机搜索,随机搜索,0.0000,0.0000,344,260,否,否,510.00,897,455
170,随机搜索,随机搜索,0.0000,0.0000,346,262,否,否,513.00,897,455
171,随机搜索,随机搜索,0.0000,0.0000,349,263,否,否,516.00,897,455
172,随机搜索,随机搜索,0.0000,0.0000,351,265,否,否,519.00,897,455
173,随机搜索,随机搜索,0.0000,0.0000,354,267,否,否,522.00,897,455
174,随机搜索,随机搜索,0.0000,0.0000,356,268,否,否,525.00,897,455
175,随机搜索,随机搜索,0.0000,0.0000,359,270,否,否,528.00,897,455
176,随机搜索,随机搜索,0.0000,0.0000,362,271,否,否,531.00,897,455
177,随机搜索,随机搜索,0.0000,0.0000,364,273,否,否,534.00,897,455
178,随机搜索,随机搜索,0.0000,0.0000,367,274,否,否,537.00,897,455
179,随机搜索,随机搜索,0.0000,0.0000,369,276,否,否,540.00,897,455
180,随机搜索,随机搜索,0.0000,0.0000,371,278,否,否,543.00,897,455
181,随机搜索,随机搜索,0.0000,0.0000,374,280,否,否,546.00,897,455
182,随机搜索,随机搜索,0.0000,0.0000,376,282,否,否,549.00,897,455
183,随机搜索,随机搜索,0.0000,0.0000,379,283,否,否,552.00,897,455
184,随机搜索,随机搜索,0.0000,0.0000,381,285,否,否,555.00,897,455
185,随机搜索,随机搜索,0.0000,0.0000,383,287,否,否,558.00,897,455
186,随机搜索,随机搜索,0.0000,0.0000,386,289,否,否,561.00,897,455
187,随机搜索,随机搜索,0.0000,0.0000,388,291,否,否,564.00,897,455
188,随机搜索,随机搜索,0.0000,0.0000,391,292,否,否,567.00,897,455
189,随机搜索,随机搜索,0.0000,0.0000,393,294,否,否,570.00,897,455
190,随机搜索,随机搜索,0.0000,0.0000,395,296,否,否,573.00,897,455
191,随机搜索,随机搜索,0.0000,0.0000,398,298,否,否,576.00,897,455
192,随机搜索,随机搜索,0.0000,0.0000,400,300,否,否,579.00,897,455
193,随机搜索,随机搜索,0.0000,0.0000,403,301,否,否,582.00,897,455
194,随机搜索,随机搜索,0.0000,0.0000,405,303,否,否,585.00,897,455
195,随机搜索,随机搜索,0.0000,0.0000,408,303,否,否,588.00,897,455
196,随机搜索,随机搜索,0.0000,0.0000,411,303,否,否,591.00,897,455
197,随机搜索,随机搜索,0.0000,0.0000,414,303,否,否,594.00,897,455
198,随机搜索,随机搜索,0.0000,0.0000,417,303,否,否,597.00,897,455
199,随机搜索,随机搜索,0.0000,0.0000,420,303,否,否,600.00,897,455
200,随机搜索,随机搜索,0.0000,0.0000,423,302,否,否,603.00,897,455
201,随机搜索,随机搜索,0.0000,0.0000,426,302,否,否,606.00,897,455
202,随机搜索,随机搜索,0.0000,0.0000,429,302,否,否,609.00,897,455
203,随机搜索,随机搜索,0.0000,0.0000,432,302,否,否,612.00,897,455
204,随机搜索,随机搜索,0.0000,0.0000,435,302,否,否,615.00,897,455
205,随机搜索,随机搜索,0.0000,0.0000,438,302,否,否,618.00,897,455
206,随机搜索,随机搜索,0.0000,0.0000,441,302,否,否,621.00,897,455
207,随机搜索,随机搜索,0.0000,0.0000,444,301,否,否,624.00,897,455
208,随机搜索,随机搜索,0.0000,0.0000,447,301,否,否,627.00,897,455
209,随机搜索,随机搜索,0.0000,0.0000,450,301,否,否,630.00,897,455
210,随机搜索,随机搜索,0.0000,0.0000,453,301,否,否,633.00,897,455
211,随机搜索,随机搜索,0.0000,0.0000,456,301,否,否,636.00,897,455
212,随机搜索,随机搜索,0.0000,0.0000,459,301,否,否,639.00,897,455
213,随机搜索,随机搜索,0.0000,0.0000,462,301,否,否,642.00,897,455
214,随机搜索,随机搜索,0.0000,0.0000,465,301,否,否,645.00,897,455
215,随机搜索,随机搜索,0.0000,0.0000,468,300,否,否,648.00,897,455
216,随机搜索,随机搜索,0.0000,0.0000,471,300,否,否,651.00,897,455
217,随机搜索,随机搜索,0.0000,0.0000,474,300,否,否,654.00,897,455
218,随机搜索,随机搜索,0.0000,0.0000,477,300,否,否,657.00,897,455
219,随机搜索,随机搜索,0.0000,0.0000,480,300,否,否,660.00,897,455
220,随机搜索,随机搜索,0.0000,0.0000,483,300,否,否,663.00,897,455
221,随机搜索,随机搜索,0.0000,0.0000,486,300,否,否,666.00,897,455
222,随机搜索,随机搜索,0.0000,0.0000,489,299,否,否,669.00,897,455
223,随机搜索,随机搜索,0.0000,0.0000,492,299,否,否,672.00,897,455
224,随机搜索,随机搜索,0.0000,0.0000,495,299,否,否,675.00,897,455
225,随机搜索,随机搜索,0.0000,0.0000,498,299,否,否,678.00,897,455
226,随机搜索,随机搜索,0.0000,0.0000,501,299,否,否,681.00,897,455
227,随机搜索,随机搜索,0.0000,0.0000,504,299,否,否,684.00,897,455
228,随机搜索,随机搜索,0.0000,0.0000,507,299,否,否,687.00,897,455
229,随机搜索,随机搜索,0.0000,0.0000,510,298,否,否,690.00,897,455
230,随机搜索,随机搜索,0.0000,0.0000,513,298,否,否,693.00,897,455
231,随机搜索,随机搜索,0.0000,0.0000,516,298,否,否,696.00,897,455
232,随机搜索,随机搜索,0.0000,0.0000,519,298,否,否,699.00,897,455
233,随机搜索,随机搜索,0.0000,0.0000,522,298,否,否,702.00,897,455
234,随机搜索,随机搜索,0.0000,0.0000,525,298,否,否,705.00,897,455
