时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,随机搜索,随机搜索,0.0000,0.0000,99,97,否,否,3.00,815,404
1,随机搜索,随机搜索,0.0000,0.0000,99,94,否,否,6.00,815,404
2,随机搜索,随机搜索,0.0000,0.0000,99,91,否,否,9.00,815,404
3,随机搜索,随机搜索,0.0000,0.0000,99,88,否,否,12.00,815,404
4,随机搜索,随机搜索,0.0000,0.0000,99,85,否,否,15.00,815,404
5,随机搜索,随机搜索,0.0000,0.0000,99,82,否,否,18.00,815,404
6,随机搜索,随机搜索,0.0000,0.0000,98,79,否,否,21.00,815,404
7,随机搜索,随机搜索,0.0000,0.0000,98,76,否,否,24.00,815,404
8,随机搜索,随机搜索,0.0000,0.0000,98,73,否,否,27.00,815,404
9,随机搜索,随机搜索,0.0000,0.0000,98,70,否,否,30.00,815,404
10,随机搜索,随机搜索,0.0000,0.0000,98,67,否,否,33.00,815,404
11,随机搜索,随机搜索,0.0000,0.0000,98,64,否,否,36.00,815,404
12,随机搜索,随机搜索,0.0000,0.0000,97,61,否,否,39.00,815,404
13,随机搜索,随机搜索,0.0000,0.0000,97,58,否,否,42.00,815,404
14,随机搜索,随机搜索,0.0000,0.0000,97,55,否,否,45.00,815,404
15,随机搜索,随机搜索,0.0000,0.0000,97,52,否,否,48.00,815,404
16,随机搜索,随机搜索,0.0000,0.0000,97,49,否,否,51.00,815,404
17,随机搜索,随机搜索,0.0000,0.0000,97,46,否,否,54.00,815,404
18,随机搜索,随机搜索,0.0000,0.0000,96,43,否,否,57.00,815,404
19,随机搜索,随机搜索,0.0000,0.0000,96,40,否,否,60.00,815,404
20,随机搜索,随机搜索,0.0000,0.0000,96,37,否,否,63.00,815,404
21,随机搜索,随机搜索,0.0000,0.0000,96,34,否,否,66.00,815,404
22,随机搜索,随机搜索,0.0000,0.0000,96,31,否,否,69.00,815,404
23,随机搜索,随机搜索,0.0000,0.0000,96,28,否,否,72.00,815,404
24,随机搜索,随机搜索,0.0000,0.0000,96,25,否,否,75.00,815,404
25,随机搜索,随机搜索,0.0000,0.0000,95,22,否,否,78.00,815,404
26,随机搜索,随机搜索,0.0000,0.0000,94,19,否,否,81.00,815,404
27,随机搜索,随机搜索,0.0000,0.0000,93,16,否,否,84.00,815,404
28,随机搜索,随机搜索,0.0000,0.0000,92,13,否,否,87.00,815,404
29,随机搜索,随机搜索,0.0000,0.0000,91,10,否,否,90.00,815,404
30,随机搜索,随机搜索,0.0000,0.0000,90,8,否,否,93.00,815,404
31,随机搜索,随机搜索,0.0000,0.0000,89,5,否,否,96.00,815,404
32,随机搜索,随机搜索,0.0000,0.0000,88,2,否,否,99.00,815,404
33,随机搜索,随机搜索,0.0000,0.0000,87,5,否,否,102.00,815,404
34,随机搜索,随机搜索,0.0000,0.0000,86,8,否,否,105.00,815,404
35,随机搜索,随机搜索,0.0000,0.0000,85,10,否,否,108.00,815,404
36,随机搜索,随机搜索,0.0000,0.0000,84,13,否,否,111.00,815,404
37,随机搜索,随机搜索,0.0000,0.0000,83,16,否,否,114.00,815,404
38,随机搜索,随机搜索,0.0000,0.0000,82,19,否,否,117.00,815,404
39,随机搜索,随机搜索,0.0000,0.0000,81,22,否,否,120.00,815,404
40,随机搜索,随机搜索,0.0000,0.0000,80,25,否,否,123.00,815,404
41,随机搜索,随机搜索,0.0000,0.0000,79,27,否,否,126.00,815,404
42,随机搜索,随机搜索,0.0000,0.0000,78,30,否,否,129.00,815,404
43,随机搜索,随机搜索,0.0000,0.0000,77,33,否,否,132.00,815,404
44,随机搜索,随机搜索,0.0000,0.0000,76,36,否,否,135.00,815,404
45,随机搜索,随机搜索,0.0000,0.0000,75,39,否,否,138.00,815,404
46,随机搜索,随机搜索,0.0000,0.0000,73,40,否,否,141.00,815,404
47,随机搜索,随机搜索,0.0000,0.0000,70,42,否,否,144.00,815,404
48,随机搜索,随机搜索,0.0000,0.0000,67,43,否,否,147.00,815,404
49,随机搜索,随机搜索,0.0000,0.0000,65,45,否,否,150.00,815,404
50,随机搜索,随机搜索,0.0000,0.0000,62,46,否,否,153.00,815,404
51,随机搜索,随机搜索,0.0000,0.0000,60,47,否,否,156.00,815,404
52,随机搜索,随机搜索,0.0000,0.0000,57,49,否,否,159.00,815,404
53,随机搜索,随机搜索,0.0000,0.0000,54,50,否,否,162.00,815,404
54,随机搜索,随机搜索,0.0000,0.0000,52,52,否,否,165.00,815,404
55,随机搜索,随机搜索,0.0000,0.0000,49,53,否,否,168.00,815,404
56,随机搜索,随机搜索,0.0000,0.0000,46,55,否,否,171.00,815,404
57,随机搜索,随机搜索,0.0000,0.0000,44,56,否,否,174.00,815,404
58,随机搜索,随机搜索,0.0000,0.0000,41,58,否,否,177.00,815,404
59,随机搜索,随机搜索,0.0000,0.0000,38,59,否,否,180.00,815,404
60,随机搜索,随机搜索,0.0000,0.0000,36,60,否,否,183.00,815,404
61,随机搜索,随机搜索,0.0000,0.0000,33,62,否,否,186.00,815,404
62,随机搜索,随机搜索,0.0000,0.0000,31,63,否,否,189.00,815,404
63,随机搜索,随机搜索,0.0000,0.0000,28,65,否,否,192.00,815,404
64,随机搜索,随机搜索,0.0000,0.0000,25,66,否,否,195.00,815,404
65,随机搜索,随机搜索,0.0000,0.0000,23,68,否,否,198.00,815,404
66,随机搜索,随机搜索,0.0000,0.0000,20,69,否,否,201.00,815,404
67,随机搜索,随机搜索,0.0000,0.0000,17,70,否,否,204.00,815,404
68,随机搜索,随机搜索,0.0000,0.0000,15,72,否,否,207.00,815,404
69,随机搜索,随机搜索,0.0000,0.0000,12,73,否,否,210.00,815,404
70,随机搜索,随机搜索,0.0000,0.0000,10,75,否,否,213.00,815,404
71,随机搜索,随机搜索,0.0000,0.0000,7,76,否,否,216.00,815,404
72,随机搜索,随机搜索,0.0000,0.0000,4,78,否,否,219.00,815,404
73,随机搜索,随机搜索,0.0000,0.0000,2,79,否,否,222.00,815,404
74,随机搜索,随机搜索,0.0000,0.0000,4,81,否,否,225.00,815,404
75,随机搜索,随机搜索,0.0000,0.0000,7,82,否,否,228.00,815,404
76,随机搜索,随机搜索,0.0000,0.0000,10,83,否,否,231.00,815,404
77,随机搜索,随机搜索,0.0000,0.0000,12,85,否,否,234.00,815,404
78,随机搜索,随机搜索,0.0000,0.0000,15,86,否,否,237.00,815,404
79,随机搜索,随机搜索,0.0000,0.0000,17,88,否,否,240.00,815,404
80,随机搜索,随机搜索,0.0000,0.0000,20,89,否,否,243.00,815,404
81,随机搜索,随机搜索,0.0000,0.0000,23,91,否,否,246.00,815,404
