时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,随机搜索,随机搜索,0.0000,0.0000,97,99,否,否,3.00,93,509
1,随机搜索,随机搜索,0.0000,0.0000,94,99,否,否,6.00,93,509
2,随机搜索,随机搜索,0.0000,0.0000,91,99,否,否,9.00,93,509
3,随机搜索,随机搜索,0.0000,0.0000,88,98,否,否,12.00,93,509
4,随机搜索,随机搜索,0.0000,0.0000,85,98,否,否,15.00,93,509
5,随机搜索,随机搜索,0.0000,0.0000,82,98,否,否,18.00,93,509
6,随机搜索,随机搜索,0.0000,0.0000,79,97,否,否,21.00,93,509
7,随机搜索,随机搜索,0.0000,0.0000,76,96,否,否,24.00,93,509
8,随机搜索,随机搜索,0.0000,0.0000,73,96,否,否,27.00,93,509
9,随机搜索,随机搜索,0.0000,0.0000,70,96,否,否,30.00,93,509
10,随机搜索,随机搜索,0.0000,0.0000,67,95,否,否,33.00,93,509
11,随机搜索,随机搜索,0.0000,0.0000,64,95,否,否,36.00,93,509
12,随机搜索,随机搜索,0.0000,0.0000,61,95,否,否,39.00,93,509
13,随机搜索,随机搜索,0.0000,0.0000,58,95,否,否,42.00,93,509
14,随机搜索,随机搜索,0.0000,0.0000,55,94,否,否,45.00,93,509
15,随机搜索,随机搜索,0.0000,0.0000,52,94,否,否,48.00,93,509
16,随机搜索,随机搜索,0.0000,0.0000,49,94,否,否,51.00,93,509
17,随机搜索,随机搜索,0.0000,0.0000,46,94,否,否,54.00,93,509
18,随机搜索,随机搜索,0.0000,0.0000,43,93,否,否,57.00,93,509
19,随机搜索,随机搜索,0.0000,0.0000,40,93,否,否,60.00,93,509
20,随机搜索,随机搜索,0.0000,0.0000,37,93,否,否,63.00,93,509
21,随机搜索,随机搜索,0.0000,0.0000,34,92,否,否,66.00,93,509
22,随机搜索,随机搜索,0.0000,0.0000,31,92,否,否,69.00,93,509
23,随机搜索,随机搜索,0.0000,0.0000,28,92,否,否,72.00,93,509
24,随机搜索,随机搜索,0.0000,0.0000,25,92,否,否,75.00,93,509
25,随机搜索,随机搜索,0.0000,0.0000,22,91,否,否,78.00,93,509
26,随机搜索,随机搜索,0.0000,0.0000,19,91,否,否,81.00,93,509
27,随机搜索,随机搜索,0.0000,0.0000,17,89,否,否,84.00,93,509
28,随机搜索,随机搜索,0.0000,0.0000,15,87,否,否,87.00,93,509
29,随机搜索,随机搜索,0.0000,0.0000,13,84,否,否,90.00,93,509
30,随机搜索,随机搜索,0.0000,0.0000,11,82,否,否,93.00,93,509
31,随机搜索,随机搜索,0.0000,0.0000,9,80,否,否,96.00,93,509
32,随机搜索,随机搜索,0.0000,0.0000,8,77,否,否,99.00,93,509
33,随机搜索,随机搜索,0.0000,0.0000,6,75,否,否,102.00,93,509
34,随机搜索,随机搜索,0.0000,0.0000,4,73,否,否,105.00,93,509
35,随机搜索,随机搜索,0.0000,0.0000,2,71,否,否,108.00,93,509
36,随机搜索,随机搜索,0.0000,0.0000,0,68,否,否,111.00,93,509
37,随机搜索,随机搜索,0.0000,0.0000,2,66,否,否,114.00,93,509
38,随机搜索,随机搜索,0.0000,0.0000,4,64,否,否,117.00,93,509
39,随机搜索,随机搜索,0.0000,0.0000,6,61,否,否,120.00,93,509
40,随机搜索,随机搜索,0.0000,0.0000,8,59,否,否,123.00,93,509
41,随机搜索,随机搜索,0.0000,0.0000,9,57,否,否,126.00,93,509
42,随机搜索,随机搜索,0.0000,0.0000,11,54,否,否,129.00,93,509
43,随机搜索,随机搜索,0.0000,0.0000,13,52,否,否,132.00,93,509
44,随机搜索,随机搜索,0.0000,0.0000,15,50,否,否,135.00,93,509
45,随机搜索,随机搜索,0.0000,0.0000,17,48,否,否,138.00,93,509
46,随机搜索,随机搜索,0.0000,0.0000,19,45,否,否,141.00,93,509
47,随机搜索,随机搜索,0.0000,0.0000,20,43,否,否,144.00,93,509
48,随机搜索,随机搜索,0.0000,0.0000,22,40,否,否,147.00,93,509
49,随机搜索,随机搜索,0.0000,0.0000,23,37,否,否,150.00,93,509
50,随机搜索,随机搜索,0.0000,0.0000,24,34,否,否,153.00,93,509
51,随机搜索,随机搜索,0.0000,0.0000,25,32,否,否,156.00,93,509
52,随机搜索,随机搜索,0.0000,0.0000,27,29,否,否,159.00,93,509
53,随机搜索,随机搜索,0.0000,0.0000,28,26,否,否,162.00,93,509
54,随机搜索,随机搜索,0.0000,0.0000,29,23,否,否,165.00,93,509
55,随机搜索,随机搜索,0.0000,0.0000,30,21,否,否,168.00,93,509
56,随机搜索,随机搜索,0.0000,0.0000,32,18,否,否,171.00,93,509
57,随机搜索,随机搜索,0.0000,0.0000,33,15,否,否,174.00,93,509
58,随机搜索,随机搜索,0.0000,0.0000,34,13,否,否,177.00,93,509
59,随机搜索,随机搜索,0.0000,0.0000,35,10,否,否,180.00,93,509
60,随机搜索,随机搜索,0.0000,0.0000,37,7,否,否,183.00,93,509
61,随机搜索,随机搜索,0.0000,0.0000,38,4,否,否,186.00,93,509
62,随机搜索,随机搜索,0.0000,0.0000,39,2,否,否,189.00,93,509
63,随机搜索,随机搜索,0.0000,0.0000,40,4,否,否,192.00,93,509
64,随机搜索,随机搜索,0.0000,0.0000,41,7,否,否,195.00,93,509
65,随机搜索,随机搜索,0.0000,0.0000,43,10,否,否,198.00,93,509
66,随机搜索,随机搜索,0.0000,0.0000,44,13,否,否,201.00,93,509
67,随机搜索,随机搜索,0.0000,0.0000,43,15,否,否,204.00,93,509
68,随机搜索,随机搜索,0.0000,0.0000,42,18,否,否,207.00,93,509
69,随机搜索,随机搜索,0.0000,0.0000,41,21,否,否,210.00,93,509
70,随机搜索,随机搜索,0.0000,0.0000,40,24,否,否,213.00,93,509
71,随机搜索,随机搜索,0.0000,0.0000,39,27,否,否,216.00,93,509
72,随机搜索,随机搜索,0.0000,0.0000,38,29,否,否,219.00,93,509
73,随机搜索,随机搜索,0.0000,0.0000,37,32,否,否,222.00,93,509
74,随机搜索,随机搜索,0.0000,0.0000,36,35,否,否,225.00,93,509
75,随机搜索,随机搜索,0.0000,0.0000,35,38,否,否,228.00,93,509
76,随机搜索,随机搜索,0.0000,0.0000,34,41,否,否,231.00,93,509
77,随机搜索,随机搜索,0.0000,0.0000,33,44,否,否,234.00,93,509
