时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,随机搜索,随机搜索,0.0000,0.0000,97,97,否,否,3.00,961,231
1,随机搜索,随机搜索,0.0000,0.0000,98,94,否,否,6.00,961,231
2,随机搜索,随机搜索,0.0000,0.0000,98,91,否,否,9.00,961,231
3,随机搜索,随机搜索,0.0000,0.0000,98,88,否,否,12.00,961,231
4,随机搜索,随机搜索,0.0000,0.0000,98,85,否,否,15.00,961,231
5,随机搜索,随机搜索,0.0000,0.0000,98,82,否,否,18.00,961,231
6,随机搜索,随机搜索,0.0000,0.0000,98,79,否,否,21.00,961,231
7,随机搜索,随机搜索,0.0000,0.0000,98,76,否,否,24.00,961,231
8,随机搜索,随机搜索,0.0000,0.0000,98,73,否,否,27.00,961,231
9,随机搜索,随机搜索,0.0000,0.0000,98,70,否,否,30.00,961,231
10,随机搜索,随机搜索,0.0000,0.0000,98,67,否,否,33.00,961,231
11,随机搜索,随机搜索,0.0000,0.0000,98,64,否,否,36.00,961,231
12,随机搜索,随机搜索,0.0000,0.0000,98,61,否,否,39.00,961,231
13,随机搜索,随机搜索,0.0000,0.0000,98,58,否,否,42.00,961,231
14,随机搜索,随机搜索,0.0000,0.0000,98,55,否,否,45.00,961,231
15,随机搜索,随机搜索,0.0000,0.0000,98,52,否,否,48.00,961,231
16,随机搜索,随机搜索,0.0000,0.0000,98,49,否,否,51.00,961,231
17,随机搜索,随机搜索,0.0000,0.0000,99,46,否,否,54.00,961,231
18,随机搜索,随机搜索,0.0000,0.0000,101,44,否,否,57.00,961,231
19,随机搜索,随机搜索,0.0000,0.0000,103,42,否,否,60.00,961,231
20,随机搜索,随机搜索,0.0000,0.0000,105,40,否,否,63.00,961,231
21,随机搜索,随机搜索,0.0000,0.0000,108,38,否,否,66.00,961,231
22,随机搜索,随机搜索,0.0000,0.0000,110,36,否,否,69.00,961,231
23,随机搜索,随机搜索,0.0000,0.0000,112,34,否,否,72.00,961,231
24,随机搜索,随机搜索,0.0000,0.0000,114,32,否,否,75.00,961,231
25,随机搜索,随机搜索,0.0000,0.0000,116,30,否,否,78.00,961,231
26,随机搜索,随机搜索,0.0000,0.0000,118,28,否,否,81.00,961,231
27,随机搜索,随机搜索,0.0000,0.0000,121,25,否,否,84.00,961,231
28,随机搜索,随机搜索,0.0000,0.0000,123,23,否,否,87.00,961,231
29,随机搜索,随机搜索,0.0000,0.0000,125,21,否,否,90.00,961,231
30,随机搜索,随机搜索,0.0000,0.0000,127,19,否,否,93.00,961,231
31,随机搜索,随机搜索,0.0000,0.0000,129,17,否,否,96.00,961,231
