实验组,算法,回合,随机种子,是否使用GridMap,地图宽度,地图高度,栅格大小,障碍物密度
GridMap搜索实验,random,0,200,1,1000,800,20,0.02
GridMap搜索实验,random,1,201,1,1000,800,20,0.02
GridMap搜索实验,random,2,202,1,1000,800,20,0.02
GridMap搜索实验,random,3,203,1,1000,800,20,0.02
GridMap搜索实验,random,4,204,1,1000,800,20,0.02
GridMap搜索实验,coverage,0,200,1,1000,800,20,0.02
GridMap搜索实验,coverage,1,201,1,1000,800,20,0.02
GridMap搜索实验,coverage,2,202,1,1000,800,20,0.02
GridMap搜索实验,coverage,3,203,1,1000,800,20,0.02
GridMap搜索实验,coverage,4,204,1,1000,800,20,0.02
GridMap搜索实验,frontier,0,200,1,1000,800,20,0.02
GridMap搜索实验,frontier,1,201,1,1000,800,20,0.02
GridMap搜索实验,frontier,2,202,1,1000,800,20,0.02
GridMap搜索实验,frontier,3,203,1,1000,800,20,0.02
GridMap搜索实验,frontier,4,204,1,1000,800,20,0.02
GridMap搜索实验,information_gain,0,200,1,1000,800,20,0.02
GridMap搜索实验,information_gain,1,201,1,1000,800,20,0.02
GridMap搜索实验,information_gain,2,202,1,1000,800,20,0.02
GridMap搜索实验,information_gain,3,203,1,1000,800,20,0.02
GridMap搜索实验,information_gain,4,204,1,1000,800,20,0.02
视觉搜索实验,共享场景,1,1209,0,1200,800,,0.0
视觉搜索实验,共享场景,2,2218,0,1200,800,,0.0
视觉搜索实验,共享场景,3,3227,0,1200,800,,0.0
视觉搜索实验,共享场景,4,4236,0,1200,800,,0.0
视觉搜索实验,共享场景,5,5245,0,1200,800,,0.0
