时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,模板匹配引导搜索,巡航模式,0.1435,0.1435,102,100,否,否,3.00,261,569
1,模板匹配引导搜索,巡航模式,0.1401,0.1421,105,101,否,否,6.00,261,569
2,模板匹配引导搜索,巡航模式,0.1506,0.1455,108,103,否,否,9.00,261,569
3,模板匹配引导搜索,巡航模式,0.1506,0.1476,110,104,否,否,12.00,261,569
4,模板匹配引导搜索,巡航模式,0.1506,0.1488,112,107,否,否,15.00,261,569
5,模板匹配引导搜索,巡航模式,0.1506,0.1495,114,109,否,否,18.00,261,569
6,模板匹配引导搜索,巡航模式,0.1611,0.1542,115,112,否,否,21.00,261,569
7,模板匹配引导搜索,巡航模式,0.1880,0.1677,115,115,否,否,24.00,261,569
8,模板匹配引导搜索,巡航模式,0.1880,0.1758,115,118,否,否,27.00,261,569
9,模板匹配引导搜索,巡航模式,0.1880,0.1807,115,121,否,否,30.00,261,569
10,模板匹配引导搜索,巡航模式,0.1472,0.1673,114,124,否,否,33.00,261,569
11,模板匹配引导搜索,巡航模式,0.1472,0.1592,112,127,否,否,36.00,261,569
12,模板匹配引导搜索,巡航模式,0.1472,0.1544,110,129,否,否,39.00,261,569
13,模板匹配引导搜索,巡航模式,0.1472,0.1515,108,131,否,否,42.00,261,569
14,模板匹配引导搜索,巡航模式,0.1472,0.1498,105,132,否,否,45.00,261,569
15,模板匹配引导搜索,巡航模式,0.1472,0.1487,103,134,否,否,48.00,261,569
16,模板匹配引导搜索,巡航模式,0.1472,0.1481,100,136,否,否,51.00,261,569
17,模板匹配引导搜索,巡航模式,0.1472,0.1477,98,137,否,否,54.00,261,569
18,模板匹配引导搜索,巡航模式,0.1472,0.1475,95,139,否,否,57.00,261,569
19,模板匹配引导搜索,巡航模式,0.1472,0.1474,93,141,否,否,60.00,261,569
20,模板匹配引导搜索,巡航模式,0.1472,0.1473,90,142,否,否,63.00,261,569
21,模板匹配引导搜索,巡航模式,0.1472,0.1472,88,144,否,否,66.00,261,569
22,模板匹配引导搜索,巡航模式,0.1472,0.1472,85,146,否,否,69.00,261,569
23,模板匹配引导搜索,巡航模式,0.1472,0.1472,83,147,否,否,72.00,261,569
24,模板匹配引导搜索,巡航模式,0.1472,0.1472,80,149,否,否,75.00,261,569
25,模板匹配引导搜索,巡航模式,0.1472,0.1472,78,151,否,否,78.00,261,569
26,模板匹配引导搜索,巡航模式,0.1472,0.1472,75,152,否,否,81.00,261,569
27,模板匹配引导搜索,巡航模式,0.1472,0.1472,73,154,否,否,84.00,261,569
28,模板匹配引导搜索,巡航模式,0.1472,0.1472,70,156,否,否,87.00,261,569
29,模板匹配引导搜索,巡航模式,0.1472,0.1472,68,157,否,否,90.00,261,569
30,模板匹配引导搜索,巡航模式,0.1472,0.1472,66,159,否,否,93.00,261,569
31,模板匹配引导搜索,巡航模式,0.1395,0.1441,64,162,否,否,96.00,261,569
32,模板匹配引导搜索,巡航模式,0.1395,0.1422,63,164,否,否,99.00,261,569
33,模板匹配引导搜索,巡航模式,0.1395,0.1411,62,167,否,否,102.00,261,569
34,模板匹配引导搜索,巡航模式,0.1395,0.1405,61,170,否,否,105.00,261,569
35,模板匹配引导搜索,巡航模式,0.1365,0.1389,61,173,否,否,108.00,261,569
36,模板匹配引导搜索,巡航模式,0.1365,0.1379,61,176,否,否,111.00,261,569
37,模板匹配引导搜索,巡航模式,0.1365,0.1373,61,179,否,否,114.00,261,569
38,模板匹配引导搜索,巡航模式,0.1229,0.1316,60,182,否,否,117.00,261,569
39,模板匹配引导搜索,巡航模式,0.1084,0.1223,60,185,否,否,120.00,261,569
40,模板匹配引导搜索,巡航模式,0.1084,0.1167,60,188,否,否,123.00,261,569
41,模板匹配引导搜索,巡航模式,0.1084,0.1134,59,191,否,否,126.00,261,569
42,模板匹配引导搜索,巡航模式,0.1084,0.1114,59,194,否,否,129.00,261,569
43,模板匹配引导搜索,巡航模式,0.1084,0.1102,59,197,否,否,132.00,261,569
44,模板匹配引导搜索,巡航模式,0.1084,0.1095,58,200,否,否,135.00,261,569
45,模板匹配引导搜索,巡航模式,0.1084,0.1090,58,203,否,否,138.00,261,569
46,模板匹配引导搜索,巡航模式,0.1084,0.1088,58,206,否,否,141.00,261,569
47,模板匹配引导搜索,巡航模式,0.1084,0.1086,58,209,否,否,144.00,261,569
48,模板匹配引导搜索,巡航模式,0.1070,0.1080,57,212,否,否,147.00,261,569
49,模板匹配引导搜索,巡航模式,0.0902,0.1009,57,215,否,否,150.00,261,569
50,模板匹配引导搜索,巡航模式,0.0902,0.0966,57,218,否,否,153.00,261,569
51,模板匹配引导搜索,巡航模式,0.0902,0.0940,56,221,否,否,156.00,261,569
52,模板匹配引导搜索,巡航模式,0.0902,0.0925,56,224,否,否,159.00,261,569
53,模板匹配引导搜索,巡航模式,0.0902,0.0916,56,227,否,否,162.00,261,569
54,模板匹配引导搜索,巡航模式,0.1015,0.0956,55,230,否,否,165.00,261,569
55,模板匹配引导搜索,巡航模式,0.1178,0.1045,55,233,否,否,168.00,261,569
56,模板匹配引导搜索,巡航模式,0.1259,0.1131,55,236,否,否,171.00,261,569
57,模板匹配引导搜索,巡航模式,0.1268,0.1186,55,239,否,否,174.00,261,569
58,模板匹配引导搜索,巡航模式,0.1310,0.1236,54,242,否,否,177.00,261,569
59,模板匹配引导搜索,巡航模式,0.1310,0.1265,54,245,否,否,180.00,261,569
60,模板匹配引导搜索,巡航模式,0.1310,0.1283,54,248,否,否,183.00,261,569
61,模板匹配引导搜索,巡航模式,0.1310,0.1294,53,251,否,否,186.00,261,569
62,模板匹配引导搜索,巡航模式,0.1435,0.1350,53,254,否,否,189.00,261,569
63,模板匹配引导搜索,巡航模式,0.1514,0.1416,53,257,否,否,192.00,261,569
64,模板匹配引导搜索,巡航模式,0.1646,0.1508,52,260,否,否,195.00,261,569
65,模板匹配引导搜索,巡航模式,0.1813,0.1630,52,263,否,否,198.00,261,569
66,模板匹配引导搜索,巡航模式,0.1813,0.1703,52,266,否,否,201.00,261,569
67,模板匹配引导搜索,巡航模式,0.1813,0.1747,52,269,否,否,204.00,261,569
68,模板匹配引导搜索,巡航模式,0.1824,0.1778,53,272,否,否,207.00,261,569
69,模板匹配引导搜索,巡航模式,0.1824,0.1796,54,274,否,否,210.00,261,569
70,模板匹配引导搜索,巡航模式,0.1824,0.1807,56,277,否,否,213.00,261,569
71,模板匹配引导搜索,巡航模式,0.1813,0.1810,58,279,否,否,216.00,261,569
72,模板匹配引导搜索,巡航模式,0.1714,0.1771,60,281,否,否,219.00,261,569
73,模板匹配引导搜索,巡航模式,0.1880,0.1815,63,282,否,否,222.00,261,569
74,模板匹配引导搜索,巡航模式,0.1880,0.1841,66,283,否,否,225.00,261,569
75,模板匹配引导搜索,巡航模式,0.1880,0.1857,69,283,否,否,228.00,261,569
76,模板匹配引导搜索,巡航模式,0.1880,0.1866,72,283,否,否,231.00,261,569
77,模板匹配引导搜索,巡航模式,0.1880,0.1872,75,283,否,否,234.00,261,569
