时间帧,x坐标,y坐标,累计距离,已发现目标数,是否完成
0,102,100,3.0,0,0
1,105,101,6.0,0,0
2,108,102,9.0,0,0
3,111,103,12.0,0,0
4,114,103,15.0,0,0
5,117,103,18.0,0,0
6,120,102,21.0,0,0
7,123,102,24.0,0,0
8,126,102,27.0,0,0
9,129,102,30.0,0,0
10,132,102,33.0,0,0
11,135,101,36.0,0,0
12,138,101,39.0,1,0
13,141,101,42.0,1,0
14,144,101,45.0,1,0
15,147,101,48.0,1,0
16,150,100,51.0,1,0
17,153,100,54.0,1,0
18,156,100,57.0,1,0
19,159,100,60.0,1,0
20,162,100,63.0,1,0
21,165,100,66.0,1,0
22,168,99,69.0,1,0
23,171,99,72.0,1,0
24,174,99,75.0,1,0
25,177,99,78.0,1,0
26,180,99,81.0,1,0
27,183,98,84.0,1,0
28,186,98,87.0,1,0
29,189,98,90.0,1,0
30,192,98,93.0,1,0
31,195,98,96.0,1,0
32,198,98,99.0,1,0
33,201,98,102.0,1,0
34,204,98,105.0,1,0
35,207,98,108.0,1,0
36,210,98,111.0,1,0
37,213,98,114.0,1,0
38,216,98,117.0,1,0
39,218,96,120.0,1,0
40,220,94,123.0,1,0
41,221,91,126.0,1,0
42,223,89,129.0,1,0
43,224,86,132.0,1,0
44,225,83,135.0,1,0
45,226,80,138.0,1,0
46,227,77,141.0,1,0
47,228,75,144.0,1,0
48,231,73,147.0,1,0
49,234,72,150.0,1,0
50,237,71,153.0,1,0
51,238,68,156.0,1,0
52,240,66,159.0,1,0
53,241,63,162.0,1,0
54,243,60,165.0,1,0
55,244,58,168.0,1,0
56,246,55,171.0,1,0
57,247,53,174.0,1,0
58,249,50,177.0,1,0
59,250,47,180.0,1,0
60,252,45,183.0,1,0
61,253,42,186.0,1,0
62,255,40,189.0,1,0
63,256,37,192.0,1,0
64,258,34,195.0,1,0
65,259,32,198.0,1,0
66,262,31,201.0,1,0
67,265,30,204.0,1,0
68,268,29,207.0,1,0
69,270,28,210.0,1,0
70,273,27,213.0,1,0
71,276,26,216.0,1,0
72,279,25,219.0,1,0
73,282,24,222.0,1,0
74,285,23,225.0,1,0
75,287,22,228.0,1,0
76,290,21,231.0,1,0
77,293,20,234.0,1,0
78,296,19,237.0,1,0
79,299,18,240.0,1,0
80,302,17,243.0,1,0
81,304,16,246.0,1,0
82,307,15,249.0,1,0
83,310,14,252.0,1,0
84,313,13,255.0,1,0
85,316,12,258.0,1,0
86,319,11,261.0,1,0
87,321,10,264.0,1,0
88,324,9,267.0,1,0
89,327,8,270.0,1,0
90,330,7,273.0,1,0
91,333,6,276.0,1,0
92,336,5,279.0,1,0
