时间帧,x坐标,y坐标,累计距离,已发现目标数,是否完成
0,732,169,3.0,0,0
1,732,172,6.0,0,0
2,731,175,9.0,0,0
3,733,174,12.0,0,0
4,736,173,15.0,0,0
5,734,171,18.0,0,0
6,731,170,21.0,0,0
7,729,168,24.0,0,0
8,732,167,27.0,0,0
9,734,170,30.0,0,0
10,736,172,33.0,0,0
11,733,170,36.0,0,0
12,731,169,39.0,0,0
13,730,171,42.0,0,0
14,729,174,45.0,0,0
15,731,176,48.0,0,0
16,729,175,51.0,0,0
17,732,174,54.0,0,0
18,735,173,57.0,0,0
19,732,171,60.0,0,0
20,730,169,63.0,0,0
21,727,168,66.0,0,0
22,724,167,69.0,0,0
23,722,165,72.0,0,0
24,725,164,75.0,0,0
25,727,167,78.0,0,0
26,729,169,81.0,0,0
27,732,171,84.0,0,0
28,734,173,87.0,0,0
29,736,175,90.0,0,0
30,738,177,93.0,0,0
31,741,178,96.0,0,0
32,743,180,99.0,0,0
33,746,181,102.0,0,0
34,748,183,105.0,0,0
35,751,185,108.0,0,0
36,753,186,111.0,0,0
37,756,187,114.0,0,0
38,759,188,117.0,0,0
39,761,190,120.0,0,0
40,763,192,123.0,0,0
41,766,193,126.0,0,0
42,769,195,129.0,0,0
43,771,196,132.0,0,0
44,773,198,135.0,0,0
45,776,200,138.0,0,0
46,778,202,141.0,0,0
47,780,204,144.0,0,0
48,782,206,147.0,0,0
49,785,208,150.0,0,0
50,787,210,153.0,0,0
51,790,211,156.0,0,0
52,792,213,159.0,0,0
53,795,214,162.0,0,0
54,797,216,165.0,0,0
55,800,217,168.0,0,0
56,803,218,171.0,0,0
57,806,220,174.0,0,0
58,808,221,177.0,0,0
59,811,223,180.0,0,0
60,813,225,183.0,0,0
61,815,226,186.0,0,0
62,818,227,189.0,0,0
63,821,228,192.0,0,0
64,824,230,195.0,0,0
65,826,231,198.0,0,0
66,829,233,201.0,0,0
67,831,234,204.0,0,0
68,834,235,207.0,0,0
69,836,237,210.0,0,0
70,839,238,213.0,0,0
71,842,240,216.0,0,0
72,845,241,219.0,0,0
73,847,242,222.0,0,0
74,850,244,225.0,0,0
75,852,246,228.0,0,0
76,855,247,231.0,0,0
77,857,249,234.0,0,0
78,859,252,237.0,0,0
79,861,254,240.0,0,0
80,863,256,243.0,0,0
81,865,258,246.0,0,0
82,867,261,249.0,0,0
83,869,263,252.0,0,0
84,870,265,255.0,0,0
85,872,268,258.0,0,0
86,873,271,261.0,0,0
87,873,274,264.0,0,0
88,874,276,267.0,0,0
89,875,279,270.0,0,0
90,876,282,273.0,0,0
91,877,285,276.0,0,0
92,879,287,279.0,0,0
93,880,290,282.0,0,0
94,880,293,285.0,0,0
95,881,296,288.0,0,0
96,882,299,291.0,0,0
97,883,302,294.0,0,0
98,884,304,297.0,0,0
99,885,307,300.0,0,0
100,886,310,303.0,0,0
101,886,313,306.0,0,0
102,887,316,309.0,0,0
103,888,319,312.0,0,0
104,889,322,315.0,0,0
105,887,324,318.0,0,0
106,886,327,321.0,0,0
107,884,329,324.0,0,0
108,883,332,327.0,0,0
109,883,335,330.0,0,0
110,883,338,333.0,0,0
111,882,341,336.0,0,0
112,881,343,339.0,0,0
113,880,346,342.0,0,0
114,878,349,345.0,0,0
115,876,351,348.0,0,0
116,876,354,351.0,0,0
117,875,357,354.0,0,0
118,874,360,357.0,0,0
119,873,363,360.0,0,0
120,871,365,363.0,0,0
121,870,368,366.0,0,0
122,868,370,369.0,0,0
123,868,373,372.0,0,0
124,868,376,375.0,0,0
125,867,379,378.0,0,0
126,865,382,381.0,0,0
127,864,384,384.0,0,0
128,866,387,387.0,0,0
129,867,389,390.0,0,0
130,869,392,393.0,0,0
131,869,395,396.0,0,0
132,870,398,399.0,0,0
133,871,400,402.0,0,0
134,872,403,405.0,0,0
135,874,406,408.0,0,0
136,872,408,411.0,0,0
137,870,411,414.0,0,0
138,870,414,417.0,0,0
139,869,417,420.0,0,0
140,869,419,423.0,0,0
141,868,422,426.0,0,0
142,869,425,429.0,0,0
143,871,427,432.0,0,0
144,869,430,435.0,0,0
145,869,433,438.0,0,0
146,870,436,441.0,0,0
147,871,439,444.0,0,0
148,870,442,447.0,0,0
149,872,444,450.0,0,0
150,873,447,453.0,0,0
151,871,449,456.0,0,0
152,870,452,459.0,0,0
153,870,455,462.0,0,0
154,869,458,465.0,0,0
155,868,461,468.0,0,0
156,867,463,471.0,0,0
157,868,466,474.0,0,0
158,870,468,477.0,0,0
159,871,471,480.0,0,0
160,871,474,483.0,0,0
161,871,477,486.0,0,0
162,870,479,489.0,0,0
163,869,482,492.0,0,0
164,870,485,495.0,0,0
165,872,487,498.0,0,0
166,874,490,501.0,0,0
167,873,493,504.0,0,0
168,873,496,507.0,0,0
169,872,499,510.0,0,0
170,874,502,513.0,0,0
171,873,504,516.0,0,0
172,871,507,519.0,0,0
173,869,509,522.0,0,0
174,868,512,525.0,0,0
175,867,515,528.0,0,0
176,865,517,531.0,0,0
177,866,520,534.0,0,0
178,867,523,537.0,0,0
179,868,525,540.0,0,0
180,870,528,543.0,0,0
181,872,530,546.0,0,0
182,872,533,549.0,0,0
183,871,536,552.0,0,0
184,870,539,555.0,0,0
185,868,541,558.0,0,0
186,865,543,561.0,0,0
187,863,545,564.0,0,0
188,865,547,567.0,0,0
189,866,550,570.0,0,0
190,868,552,573.0,0,0
191,868,555,576.0,0,0
192,865,557,579.0,0,0
193,863,559,582.0,0,0
194,864,562,585.0,0,0
195,865,565,588.0,0,0
196,867,567,591.0,0,0
197,869,570,594.0,0,0
198,869,573,597.0,0,0
199,869,575,600.0,0,0
200,870,578,603.0,1,0
201,871,581,606.0,1,0
202,872,584,609.0,1,0
203,870,587,612.0,1,0
204,869,589,615.0,1,0
205,867,592,618.0,1,0
206,866,595,621.0,1,0
207,867,598,624.0,1,0
208,868,600,627.0,1,0
209,869,603,630.0,1,0
210,871,606,633.0,1,0
211,872,608,636.0,1,0
212,874,611,639.0,1,0
213,873,614,642.0,1,0
214,873,617,645.0,1,0
215,872,620,648.0,1,0
216,871,622,651.0,1,0
217,869,625,654.0,1,0
218,868,628,657.0,1,0
219,866,630,660.0,1,0
220,866,633,663.0,1,0
221,867,636,666.0,1,0
222,868,639,669.0,1,0
223,869,642,672.0,1,0
224,870,644,675.0,1,0
225,872,647,678.0,1,0
226,873,649,681.0,1,0
227,872,652,684.0,1,0
228,870,654,687.0,1,0
229,868,657,690.0,1,0
230,866,659,693.0,1,0
231,864,661,696.0,1,0
232,861,663,699.0,1,0
233,864,665,702.0,1,0
234,861,667,705.0,1,0
235,859,669,708.0,1,0
236,857,671,711.0,1,0
237,854,672,714.0,1,0
238,851,674,717.0,1,0
239,849,675,720.0,1,0
240,846,677,723.0,1,0
241,843,677,726.0,1,0
242,840,678,729.0,1,0
243,838,679,732.0,1,0
244,835,680,735.0,1,0
245,832,681,738.0,1,0
246,829,683,741.0,1,0
247,827,684,744.0,1,0
248,824,684,747.0,1,0
249,821,685,750.0,1,0
250,818,686,753.0,1,0
251,815,687,756.0,1,0
252,812,687,759.0,1,0
253,809,687,762.0,1,0
254,806,687,765.0,1,0
255,803,687,768.0,1,0
256,800,687,771.0,1,0
257,797,687,774.0,1,0
258,794,688,777.0,1,0
259,791,688,780.0,1,0
260,788,688,783.0,1,0
261,785,688,786.0,1,0
262,782,688,789.0,1,0
263,779,689,792.0,1,0
264,776,690,795.0,1,0
265,774,690,798.0,1,0
266,771,691,801.0,1,0
267,768,692,804.0,1,0
268,765,692,807.0,1,0
269,762,692,810.0,1,0
270,759,691,813.0,1,0
271,756,690,816.0,1,0
272,754,689,819.0,1,0
273,751,687,822.0,1,0
274,748,685,825.0,1,0
275,745,686,828.0,1,0
276,743,684,831.0,1,0
277,741,681,834.0,1,0
278,738,680,837.0,1,0
279,736,679,840.0,1,0
280,733,678,843.0,1,0
281,731,676,846.0,1,0
282,728,674,849.0,1,0
283,726,672,852.0,1,0
284,723,671,855.0,1,0
285,720,671,858.0,1,0
286,718,668,861.0,1,0
287,716,667,864.0,1,0
288,713,665,867.0,1,0
289,710,664,870.0,1,0
290,708,662,873.0,1,0
291,705,660,876.0,1,0
292,703,658,879.0,1,0
293,700,657,882.0,1,0
294,698,656,885.0,1,0
295,695,655,888.0,1,0
296,692,653,891.0,1,0
297,690,652,894.0,1,0
298,687,650,897.0,1,0
299,685,648,900.0,1,0
300,682,647,903.0,1,0
301,680,645,906.0,1,0
302,677,644,909.0,1,0
303,675,643,912.0,1,0
304,672,641,915.0,1,0
305,669,640,918.0,1,0
306,667,638,921.0,1,0
307,666,635,924.0,1,0
308,664,633,927.0,1,0
309,661,632,930.0,1,0
310,658,631,933.0,1,0
311,657,629,936.0,1,0
312,654,627,939.0,1,0
313,651,625,942.0,1,0
314,651,623,945.0,1,0
315,650,620,948.0,1,0
316,647,618,951.0,1,0
