run_id,algorithm,found_all,found_count,total_targets,discovery_rate,num_false_negatives,frames,distance,use_grid_map,map_width,map_height,cell_size,obstacle_density,seed,stop_reason
0,random,1,3,3,1.0,1,2624,7872.0,0,1200,800,,0.0,200,success
1,random,1,3,3,1.0,2,319,957.0,0,1200,800,,0.0,201,success
2,random,1,3,3,1.0,0,3842,11526.0,0,1200,800,,0.0,202,success
3,random,1,3,3,1.0,2,3262,9786.0,0,1200,800,,0.0,203,success
4,random,1,3,3,1.0,1,2409,7227.0,0,1200,800,,0.0,204,success

SUMMARY,success_rate,1.0,avg_discovery_rate,1.0
