时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,随机搜索,随机搜索,0.0000,0.0000,101,97,否,否,3.00,261,569
1,随机搜索,随机搜索,0.0000,0.0000,102,94,否,否,6.00,261,569
2,随机搜索,随机搜索,0.0000,0.0000,103,91,否,否,9.00,261,569
3,随机搜索,随机搜索,0.0000,0.0000,104,88,否,否,12.00,261,569
4,随机搜索,随机搜索,0.0000,0.0000,105,86,否,否,15.00,261,569
5,随机搜索,随机搜索,0.0000,0.0000,107,83,否,否,18.00,261,569
6,随机搜索,随机搜索,0.0000,0.0000,108,80,否,否,21.00,261,569
7,随机搜索,随机搜索,0.0000,0.0000,109,77,否,否,24.00,261,569
8,随机搜索,随机搜索,0.0000,0.0000,110,75,否,否,27.00,261,569
9,随机搜索,随机搜索,0.0000,0.0000,111,72,否,否,30.00,261,569
10,随机搜索,随机搜索,0.0000,0.0000,112,69,否,否,33.00,261,569
11,随机搜索,随机搜索,0.0000,0.0000,114,66,否,否,36.00,261,569
12,随机搜索,随机搜索,0.0000,0.0000,115,64,否,否,39.00,261,569
13,随机搜索,随机搜索,0.0000,0.0000,116,61,否,否,42.00,261,569
14,随机搜索,随机搜索,0.0000,0.0000,117,58,否,否,45.00,261,569
15,随机搜索,随机搜索,0.0000,0.0000,118,55,否,否,48.00,261,569
16,随机搜索,随机搜索,0.0000,0.0000,119,53,否,否,51.00,261,569
17,随机搜索,随机搜索,0.0000,0.0000,121,50,否,否,54.00,261,569
18,随机搜索,随机搜索,0.0000,0.0000,122,47,否,否,57.00,261,569
19,随机搜索,随机搜索,0.0000,0.0000,123,44,否,否,60.00,261,569
20,随机搜索,随机搜索,0.0000,0.0000,125,42,否,否,63.00,261,569
21,随机搜索,随机搜索,0.0000,0.0000,127,40,否,否,66.00,261,569
22,随机搜索,随机搜索,0.0000,0.0000,127,37,否,否,69.00,261,569
23,随机搜索,随机搜索,0.0000,0.0000,126,34,否,否,72.00,261,569
24,随机搜索,随机搜索,0.0000,0.0000,126,31,否,否,75.00,261,569
25,随机搜索,随机搜索,0.0000,0.0000,126,28,否,否,78.00,261,569
26,随机搜索,随机搜索,0.0000,0.0000,126,25,否,否,81.00,261,569
27,随机搜索,随机搜索,0.0000,0.0000,125,22,否,否,84.00,261,569
28,随机搜索,随机搜索,0.0000,0.0000,125,19,否,否,87.00,261,569
29,随机搜索,随机搜索,0.0000,0.0000,125,16,否,否,90.00,261,569
30,随机搜索,随机搜索,0.0000,0.0000,125,13,否,否,93.00,261,569
31,随机搜索,随机搜索,0.0000,0.0000,125,10,否,否,96.00,261,569
32,随机搜索,随机搜索,0.0000,0.0000,124,7,否,否,99.00,261,569
33,随机搜索,随机搜索,0.0000,0.0000,124,4,否,否,102.00,261,569
34,随机搜索,随机搜索,0.0000,0.0000,124,1,否,否,105.00,261,569
35,随机搜索,随机搜索,0.0000,0.0000,124,4,否,否,108.00,261,569
36,随机搜索,随机搜索,0.0000,0.0000,123,7,否,否,111.00,261,569
37,随机搜索,随机搜索,0.0000,0.0000,123,10,否,否,114.00,261,569
38,随机搜索,随机搜索,0.0000,0.0000,123,13,否,否,117.00,261,569
39,随机搜索,随机搜索,0.0000,0.0000,123,16,否,否,120.00,261,569
40,随机搜索,随机搜索,0.0000,0.0000,123,19,否,否,123.00,261,569
41,随机搜索,随机搜索,0.0000,0.0000,122,22,否,否,126.00,261,569
42,随机搜索,随机搜索,0.0000,0.0000,122,25,否,否,129.00,261,569
43,随机搜索,随机搜索,0.0000,0.0000,122,28,否,否,132.00,261,569
44,随机搜索,随机搜索,0.0000,0.0000,122,31,否,否,135.00,261,569
45,随机搜索,随机搜索,0.0000,0.0000,121,34,否,否,138.00,261,569
46,随机搜索,随机搜索,0.0000,0.0000,121,37,否,否,141.00,261,569
47,随机搜索,随机搜索,0.0000,0.0000,121,40,否,否,144.00,261,569
48,随机搜索,随机搜索,0.0000,0.0000,121,43,否,否,147.00,261,569
49,随机搜索,随机搜索,0.0000,0.0000,121,46,否,否,150.00,261,569
50,随机搜索,随机搜索,0.0000,0.0000,120,49,否,否,153.00,261,569
51,随机搜索,随机搜索,0.0000,0.0000,120,52,否,否,156.00,261,569
52,随机搜索,随机搜索,0.0000,0.0000,120,55,否,否,159.00,261,569
53,随机搜索,随机搜索,0.0000,0.0000,120,58,否,否,162.00,261,569
54,随机搜索,随机搜索,0.0000,0.0000,119,61,否,否,165.00,261,569
55,随机搜索,随机搜索,0.0000,0.0000,119,64,否,否,168.00,261,569
56,随机搜索,随机搜索,0.0000,0.0000,119,67,否,否,171.00,261,569
57,随机搜索,随机搜索,0.0000,0.0000,119,70,否,否,174.00,261,569
58,随机搜索,随机搜索,0.0000,0.0000,119,73,否,否,177.00,261,569
59,随机搜索,随机搜索,0.0000,0.0000,118,76,否,否,180.00,261,569
60,随机搜索,随机搜索,0.0000,0.0000,118,79,否,否,183.00,261,569
61,随机搜索,随机搜索,0.0000,0.0000,118,82,否,否,186.00,261,569
62,随机搜索,随机搜索,0.0000,0.0000,118,85,否,否,189.00,261,569
63,随机搜索,随机搜索,0.0000,0.0000,117,88,否,否,192.00,261,569
64,随机搜索,随机搜索,0.0000,0.0000,117,91,否,否,195.00,261,569
65,随机搜索,随机搜索,0.0000,0.0000,117,94,否,否,198.00,261,569
66,随机搜索,随机搜索,0.0000,0.0000,117,97,否,否,201.00,261,569
67,随机搜索,随机搜索,0.0000,0.0000,117,100,否,否,204.00,261,569
68,随机搜索,随机搜索,0.0000,0.0000,117,103,否,否,207.00,261,569
69,随机搜索,随机搜索,0.0000,0.0000,117,105,否,否,210.00,261,569
70,随机搜索,随机搜索,0.0000,0.0000,118,108,否,否,213.00,261,569
71,随机搜索,随机搜索,0.0000,0.0000,119,111,否,否,216.00,261,569
72,随机搜索,随机搜索,0.0000,0.0000,119,114,否,否,219.00,261,569
73,随机搜索,随机搜索,0.0000,0.0000,120,117,否,否,222.00,261,569
74,随机搜索,随机搜索,0.0000,0.0000,121,120,否,否,225.00,261,569
75,随机搜索,随机搜索,0.0000,0.0000,120,123,否,否,228.00,261,569
