时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,随机搜索,随机搜索,0.0000,0.0000,100,97,否,否,3.00,153,268
1,随机搜索,随机搜索,0.0000,0.0000,101,94,否,否,6.00,153,268
2,随机搜索,随机搜索,0.0000,0.0000,101,91,否,否,9.00,153,268
3,随机搜索,随机搜索,0.0000,0.0000,102,88,否,否,12.00,153,268
4,随机搜索,随机搜索,0.0000,0.0000,103,85,否,否,15.00,153,268
5,随机搜索,随机搜索,0.0000,0.0000,103,82,否,否,18.00,153,268
6,随机搜索,随机搜索,0.0000,0.0000,104,79,否,否,21.00,153,268
7,随机搜索,随机搜索,0.0000,0.0000,105,76,否,否,24.00,153,268
8,随机搜索,随机搜索,0.0000,0.0000,105,73,否,否,27.00,153,268
9,随机搜索,随机搜索,0.0000,0.0000,106,70,否,否,30.00,153,268
10,随机搜索,随机搜索,0.0000,0.0000,107,67,否,否,33.00,153,268
11,随机搜索,随机搜索,0.0000,0.0000,107,64,否,否,36.00,153,268
12,随机搜索,随机搜索,0.0000,0.0000,108,61,否,否,39.00,153,268
13,随机搜索,随机搜索,0.0000,0.0000,109,59,否,否,42.00,153,268
14,随机搜索,随机搜索,0.0000,0.0000,109,56,否,否,45.00,153,268
15,随机搜索,随机搜索,0.0000,0.0000,110,53,否,否,48.00,153,268
16,随机搜索,随机搜索,0.0000,0.0000,111,50,否,否,51.00,153,268
17,随机搜索,随机搜索,0.0000,0.0000,111,47,否,否,54.00,153,268
18,随机搜索,随机搜索,0.0000,0.0000,112,44,否,否,57.00,153,268
19,随机搜索,随机搜索,0.0000,0.0000,113,41,否,否,60.00,153,268
20,随机搜索,随机搜索,0.0000,0.0000,113,38,否,否,63.00,153,268
21,随机搜索,随机搜索,0.0000,0.0000,114,35,否,否,66.00,153,268
22,随机搜索,随机搜索,0.0000,0.0000,115,32,否,否,69.00,153,268
23,随机搜索,随机搜索,0.0000,0.0000,115,29,否,否,72.00,153,268
24,随机搜索,随机搜索,0.0000,0.0000,116,26,否,否,75.00,153,268
25,随机搜索,随机搜索,0.0000,0.0000,117,23,否,否,78.00,153,268
26,随机搜索,随机搜索,0.0000,0.0000,117,20,否,否,81.00,153,268
27,随机搜索,随机搜索,0.0000,0.0000,118,18,否,否,84.00,153,268
28,随机搜索,随机搜索,0.0000,0.0000,119,15,否,否,87.00,153,268
29,随机搜索,随机搜索,0.0000,0.0000,119,12,否,否,90.00,153,268
30,随机搜索,随机搜索,0.0000,0.0000,120,9,否,否,93.00,153,268
31,随机搜索,随机搜索,0.0000,0.0000,121,6,否,否,96.00,153,268
32,随机搜索,随机搜索,0.0000,0.0000,121,3,否,否,99.00,153,268
33,随机搜索,随机搜索,0.0000,0.0000,122,0,否,否,102.00,153,268
34,随机搜索,随机搜索,0.0000,0.0000,123,3,否,否,105.00,153,268
35,随机搜索,随机搜索,0.0000,0.0000,123,6,否,否,108.00,153,268
36,随机搜索,随机搜索,0.0000,0.0000,124,9,否,否,111.00,153,268
37,随机搜索,随机搜索,0.0000,0.0000,125,12,否,否,114.00,153,268
38,随机搜索,随机搜索,0.0000,0.0000,125,15,否,否,117.00,153,268
39,随机搜索,随机搜索,0.0000,0.0000,126,18,否,否,120.00,153,268
40,随机搜索,随机搜索,0.0000,0.0000,126,20,否,否,123.00,153,268
41,随机搜索,随机搜索,0.0000,0.0000,127,23,否,否,126.00,153,268
42,随机搜索,随机搜索,0.0000,0.0000,128,26,否,否,129.00,153,268
43,随机搜索,随机搜索,0.0000,0.0000,128,29,否,否,132.00,153,268
44,随机搜索,随机搜索,0.0000,0.0000,129,32,否,否,135.00,153,268
45,随机搜索,随机搜索,0.0000,0.0000,130,35,否,否,138.00,153,268
46,随机搜索,随机搜索,0.0000,0.0000,130,38,否,否,141.00,153,268
47,随机搜索,随机搜索,0.0000,0.0000,131,41,否,否,144.00,153,268
48,随机搜索,随机搜索,0.0000,0.0000,132,44,否,否,147.00,153,268
49,随机搜索,随机搜索,0.0000,0.0000,132,47,否,否,150.00,153,268
50,随机搜索,随机搜索,0.0000,0.0000,133,50,否,否,153.00,153,268
51,随机搜索,随机搜索,0.0000,0.0000,134,53,否,否,156.00,153,268
52,随机搜索,随机搜索,0.0000,0.0000,134,56,否,否,159.00,153,268
53,随机搜索,随机搜索,0.0000,0.0000,135,59,否,否,162.00,153,268
54,随机搜索,随机搜索,0.0000,0.0000,136,61,否,否,165.00,153,268
55,随机搜索,随机搜索,0.0000,0.0000,136,64,否,否,168.00,153,268
56,随机搜索,随机搜索,0.0000,0.0000,137,67,否,否,171.00,153,268
57,随机搜索,随机搜索,0.0000,0.0000,138,70,否,否,174.00,153,268
