时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,模板匹配引导搜索,巡航模式,0.1422,0.1422,102,100,否,否,3.00,122,206
1,模板匹配引导搜索,巡航模式,0.1390,0.1409,105,101,否,否,6.00,122,206
2,模板匹配引导搜索,巡航模式,0.1506,0.1448,108,103,否,否,9.00,122,206
3,模板匹配引导搜索,巡航模式,0.1506,0.1471,110,104,否,否,12.00,122,206
4,模板匹配引导搜索,巡航模式,0.1506,0.1485,112,107,否,否,15.00,122,206
5,模板匹配引导搜索,巡航模式,0.1506,0.1493,114,109,否,否,18.00,122,206
6,模板匹配引导搜索,巡航模式,0.1611,0.1540,115,112,否,否,21.00,122,206
7,模板匹配引导搜索,巡航模式,0.1880,0.1676,115,115,否,否,24.00,122,206
8,模板匹配引导搜索,巡航模式,0.1880,0.1758,115,118,否,否,27.00,122,206
9,模板匹配引导搜索,巡航模式,0.1880,0.1807,115,121,否,否,30.00,122,206
10,模板匹配引导搜索,巡航模式,0.1464,0.1670,114,124,否,否,33.00,122,206
11,模板匹配引导搜索,巡航模式,0.1464,0.1588,112,127,否,是,36.00,122,206
