时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,模板匹配引导搜索,巡航模式,0.1436,0.1436,102,100,否,否,3.00,897,455
1,模板匹配引导搜索,巡航模式,0.1401,0.1422,105,101,否,否,6.00,897,455
2,模板匹配引导搜索,巡航模式,0.1506,0.1456,108,103,否,否,9.00,897,455
3,模板匹配引导搜索,巡航模式,0.1506,0.1476,110,104,否,否,12.00,897,455
4,模板匹配引导搜索,巡航模式,0.1506,0.1488,112,107,否,否,15.00,897,455
5,模板匹配引导搜索,巡航模式,0.1506,0.1495,114,109,否,否,18.00,897,455
6,模板匹配引导搜索,巡航模式,0.1611,0.1542,115,112,否,否,21.00,897,455
7,模板匹配引导搜索,巡航模式,0.1880,0.1677,115,115,否,否,24.00,897,455
8,模板匹配引导搜索,巡航模式,0.1880,0.1758,115,118,否,否,27.00,897,455
9,模板匹配引导搜索,巡航模式,0.1880,0.1807,115,121,否,否,30.00,897,455
10,模板匹配引导搜索,巡航模式,0.1472,0.1673,114,124,否,否,33.00,897,455
11,模板匹配引导搜索,巡航模式,0.1472,0.1593,112,127,否,否,36.00,897,455
12,模板匹配引导搜索,巡航模式,0.1472,0.1544,110,129,否,否,39.00,897,455
13,模板匹配引导搜索,巡航模式,0.1472,0.1515,108,131,否,否,42.00,897,455
14,模板匹配引导搜索,巡航模式,0.1472,0.1498,105,132,否,否,45.00,897,455
15,模板匹配引导搜索,巡航模式,0.1472,0.1488,103,134,否,否,48.00,897,455
16,模板匹配引导搜索,巡航模式,0.1472,0.1481,100,136,否,否,51.00,897,455
17,模板匹配引导搜索,巡航模式,0.1472,0.1478,98,137,否,否,54.00,897,455
18,模板匹配引导搜索,巡航模式,0.1472,0.1476,95,139,否,否,57.00,897,455
19,模板匹配引导搜索,巡航模式,0.1472,0.1474,93,141,否,否,60.00,897,455
20,模板匹配引导搜索,巡航模式,0.1472,0.1473,90,142,否,否,63.00,897,455
21,模板匹配引导搜索,巡航模式,0.1472,0.1473,88,144,否,否,66.00,897,455
22,模板匹配引导搜索,巡航模式,0.1472,0.1473,85,146,否,否,69.00,897,455
23,模板匹配引导搜索,巡航模式,0.1472,0.1472,83,147,否,否,72.00,897,455
24,模板匹配引导搜索,巡航模式,0.1472,0.1472,80,149,否,否,75.00,897,455
25,模板匹配引导搜索,巡航模式,0.1472,0.1472,78,151,否,否,78.00,897,455
26,模板匹配引导搜索,巡航模式,0.1472,0.1472,75,152,否,否,81.00,897,455
27,模板匹配引导搜索,巡航模式,0.1472,0.1472,73,154,否,否,84.00,897,455
28,模板匹配引导搜索,巡航模式,0.1472,0.1472,70,156,否,否,87.00,897,455
29,模板匹配引导搜索,巡航模式,0.1472,0.1472,68,157,否,否,90.00,897,455
30,模板匹配引导搜索,巡航模式,0.1472,0.1472,66,159,否,否,93.00,897,455
