时间帧,x坐标,y坐标,累计距离,已发现目标数,是否完成
0,273,30,3.0,0,0
1,276,30,6.0,0,0
2,279,30,9.0,0,0
3,282,30,12.0,0,0
4,285,30,15.0,0,0
5,288,30,18.0,0,0
6,291,30,21.0,0,0
7,294,30,24.0,0,0
8,297,30,27.0,0,0
9,300,30,30.0,0,0
10,303,30,33.0,0,0
11,306,30,36.0,0,0
12,309,30,39.0,0,0
13,312,30,42.0,0,0
14,315,30,45.0,0,0
15,318,30,48.0,0,0
16,321,30,51.0,0,0
17,324,30,54.0,0,0
18,327,30,57.0,0,0
19,330,30,60.0,0,0
20,333,30,63.0,0,0
21,336,30,66.0,0,0
22,339,30,69.0,0,0
23,342,30,72.0,0,0
24,345,30,75.0,0,0
25,348,30,78.0,0,0
26,351,30,81.0,0,0
27,354,30,84.0,0,0
28,357,30,87.0,0,0
29,360,30,90.0,0,0
30,363,30,93.0,0,0
31,366,30,96.0,0,0
32,369,30,99.0,0,0
33,372,30,102.0,0,0
34,375,30,105.0,0,0
35,378,30,108.0,0,0
36,381,30,111.0,0,0
37,381,32,114.0,0,0
38,381,35,117.0,0,0
39,382,38,120.0,0,0
40,382,41,123.0,0,0
41,385,41,126.0,0,0
42,388,41,129.0,0,0
43,391,41,132.0,0,0
44,394,41,135.0,0,0
45,397,41,138.0,0,0
46,400,41,141.0,0,0
47,403,41,144.0,0,0
48,406,41,147.0,0,0
49,409,41,150.0,0,0
50,412,41,153.0,0,0
51,415,41,156.0,0,0
52,418,41,159.0,0,0
53,421,41,162.0,0,0
54,424,41,165.0,0,0
55,427,41,168.0,0,0
56,430,41,171.0,0,0
57,433,41,174.0,0,0
58,436,41,177.0,0,0
59,439,41,180.0,0,0
60,442,41,183.0,0,0
61,445,41,186.0,0,0
62,448,41,189.0,0,0
63,451,41,192.0,0,0
64,454,41,195.0,0,0
65,457,41,198.0,0,0
66,460,41,201.0,0,0
67,463,41,204.0,0,0
68,466,41,207.0,0,0
69,469,41,210.0,0,0
70,472,41,213.0,0,0
71,475,41,216.0,0,0
72,478,41,219.0,0,0
73,481,41,222.0,0,0
74,484,41,225.0,0,0
75,487,41,228.0,0,0
76,490,41,231.0,0,0
77,493,41,234.0,0,0
78,496,41,237.0,0,0
79,499,41,240.0,0,0
80,502,41,243.0,0,0
81,505,41,246.0,0,0
82,508,41,249.0,0,0
83,511,41,252.0,0,0
84,514,41,255.0,0,0
85,517,41,258.0,0,0
86,520,41,261.0,0,0
87,523,41,264.0,0,0
88,526,41,267.0,0,0
89,529,41,270.0,0,0
90,532,41,273.0,0,0
91,535,41,276.0,0,0
92,538,41,279.0,0,0
93,541,41,282.0,0,0
94,542,44,285.0,0,0
95,542,47,288.0,0,0
96,542,50,291.0,0,0
97,543,53,294.0,0,0
98,543,56,297.0,0,0
99,544,59,300.0,0,0
100,544,62,303.0,0,0
101,547,62,306.0,0,0
102,550,62,309.0,0,0
103,553,62,312.0,0,0
104,556,62,315.0,0,0
105,559,62,318.0,0,0
106,562,62,321.0,0,0
107,565,62,324.0,0,0
108,568,62,327.0,0,0
109,571,62,330.0,0,0
110,574,62,333.0,0,0
111,577,62,336.0,0,0
112,580,62,339.0,0,0
113,583,62,342.0,0,0
114,586,62,345.0,0,0
115,589,62,348.0,0,0
116,592,62,351.0,0,0
117,595,62,354.0,0,0
118,598,62,357.0,0,0
119,601,62,360.0,0,0
120,604,62,363.0,0,0
121,607,62,366.0,0,0
122,610,62,369.0,0,0
123,613,62,372.0,0,0
124,616,62,375.0,0,0
125,619,62,378.0,0,0
126,622,62,381.0,0,0
127,625,62,384.0,0,0
128,628,62,387.0,0,0
129,631,62,390.0,0,0
130,634,62,393.0,0,0
131,637,62,396.0,0,0
132,640,62,399.0,0,0
133,643,62,402.0,0,0
134,646,62,405.0,0,0
135,649,62,408.0,0,0
136,652,62,411.0,0,0
137,655,62,414.0,0,0
138,658,62,417.0,0,0
139,661,62,420.0,0,0
140,664,62,423.0,0,0
141,667,62,426.0,0,0
142,670,62,429.0,0,0
143,673,62,432.0,0,0
144,676,62,435.0,0,0
145,679,62,438.0,0,0
146,682,62,441.0,0,0
147,682,65,444.0,0,0
148,683,68,447.0,0,0
149,683,71,450.0,0,0
150,684,74,453.0,0,0
151,684,77,456.0,0,0
152,685,80,459.0,0,0
153,688,80,462.0,0,0
154,691,80,465.0,0,0
155,694,80,468.0,0,0
156,697,80,471.0,0,0
157,700,80,474.0,0,0
158,703,80,477.0,0,0
159,706,80,480.0,0,0
160,709,80,483.0,0,0
161,712,80,486.0,0,0
162,715,80,489.0,0,0
163,718,80,492.0,0,0
164,721,80,495.0,0,0
165,724,80,498.0,0,0
166,727,80,501.0,0,0
167,730,80,504.0,0,0
168,733,80,507.0,0,0
169,736,80,510.0,0,0
170,739,80,513.0,0,0
171,742,80,516.0,0,0
172,745,80,519.0,0,0
173,748,80,522.0,0,0
174,751,80,525.0,0,0
175,754,80,528.0,0,0
176,757,80,531.0,0,0
177,760,80,534.0,0,0
178,763,80,537.0,0,0
179,766,80,540.0,0,0
180,769,80,543.0,0,0
181,772,80,546.0,0,0
182,775,80,549.0,0,0
183,778,80,552.0,0,0
184,781,80,555.0,0,0
185,784,80,558.0,0,0
186,787,80,561.0,0,0
187,790,80,564.0,0,0
188,793,80,567.0,0,0
189,796,80,570.0,0,0
190,799,80,573.0,0,0
191,802,80,576.0,0,0
192,805,80,579.0,0,0
193,808,80,582.0,0,0
194,811,80,585.0,0,0
195,814,80,588.0,0,0
196,817,80,591.0,0,0
197,820,80,594.0,0,0
198,823,80,597.0,0,0
199,826,80,600.0,0,0
200,829,80,603.0,0,0
201,832,80,606.0,0,0
202,835,80,609.0,0,0
