时间帧,x坐标,y坐标,累计距离,已发现目标数,是否完成
0,73,10,3.0,0,0
1,76,10,6.0,0,0
2,79,10,9.0,0,0
3,82,10,12.0,0,0
4,85,10,15.0,0,0
5,88,10,18.0,0,0
6,91,10,21.0,0,0
7,94,10,24.0,0,0
8,97,10,27.0,0,0
9,100,10,30.0,0,0
10,100,12,33.0,0,0
11,100,15,36.0,0,0
12,101,18,39.0,0,0
13,101,21,42.0,0,0
14,102,24,45.0,0,0
15,102,27,48.0,0,0
16,102,30,51.0,0,0
17,103,33,54.0,0,0
18,103,36,57.0,0,0
19,104,39,60.0,0,0
20,104,42,63.0,0,0
21,107,42,66.0,0,0
22,110,42,69.0,0,0
23,113,42,72.0,0,0
24,116,42,75.0,0,0
25,119,42,78.0,0,0
26,122,42,81.0,0,0
27,125,42,84.0,0,0
28,128,42,87.0,0,0
29,131,42,90.0,0,0
30,134,42,93.0,0,0
31,137,42,96.0,0,0
32,140,42,99.0,0,0
33,143,42,102.0,0,0
34,146,42,105.0,0,0
35,149,42,108.0,0,0
36,152,42,111.0,0,0
37,155,42,114.0,0,0
38,158,42,117.0,0,0
39,161,42,120.0,0,0
40,164,42,123.0,0,0
41,167,42,126.0,0,0
42,170,42,129.0,0,0
43,173,42,132.0,0,0
44,176,42,135.0,0,0
45,179,42,138.0,0,0
46,182,42,141.0,0,0
47,185,42,144.0,0,0
48,188,42,147.0,0,0
49,191,42,150.0,0,0
50,194,42,153.0,0,0
51,197,42,156.0,0,0
52,200,42,159.0,0,0
53,203,42,162.0,0,0
54,206,42,165.0,0,0
55,209,42,168.0,0,0
56,212,42,171.0,0,0
57,215,42,174.0,0,0
58,218,42,177.0,0,0
59,221,42,180.0,0,0
60,224,42,183.0,0,0
61,227,42,186.0,0,0
62,230,42,189.0,0,0
63,233,42,192.0,0,0
64,236,42,195.0,0,0
65,239,42,198.0,0,0
66,242,42,201.0,0,0
67,245,42,204.0,0,0
68,248,42,207.0,0,0
69,251,42,210.0,0,0
70,254,42,213.0,0,0
71,257,42,216.0,0,0
72,260,42,219.0,0,0
73,263,42,222.0,0,0
74,266,42,225.0,0,0
75,269,42,228.0,0,0
76,272,42,231.0,0,0
77,275,42,234.0,0,0
78,278,42,237.0,0,0
79,281,42,240.0,0,0
80,284,42,243.0,0,0
81,287,42,246.0,0,0
82,290,42,249.0,0,0
83,293,42,252.0,0,0
84,296,42,255.0,0,0
85,299,42,258.0,0,0
86,302,42,261.0,0,0
87,305,42,264.0,0,0
88,308,42,267.0,0,0
89,311,42,270.0,0,0
90,314,42,273.0,0,0
91,317,42,276.0,0,0
92,320,42,279.0,0,0
93,323,42,282.0,0,0
94,326,42,285.0,0,0
95,329,42,288.0,0,0
96,332,42,291.0,0,0
97,335,42,294.0,0,0
98,338,42,297.0,0,0
99,341,42,300.0,0,0
100,344,42,303.0,0,0
101,347,42,306.0,0,0
102,350,42,309.0,0,0
103,353,42,312.0,0,0
104,356,42,315.0,0,0
105,359,42,318.0,0,0
106,362,42,321.0,0,0
107,365,42,324.0,0,0
108,368,42,327.0,0,0
109,371,42,330.0,0,0
110,374,42,333.0,0,0
111,377,42,336.0,0,0
112,380,42,339.0,0,0
113,383,42,342.0,0,0
114,386,42,345.0,0,0
115,389,42,348.0,0,0
116,392,42,351.0,0,0
117,395,42,354.0,0,0
118,398,42,357.0,0,0
119,401,42,360.0,0,0
120,404,42,363.0,0,0
121,407,42,366.0,0,0
122,410,42,369.0,0,0
123,413,42,372.0,0,0
124,416,42,375.0,0,0
125,419,42,378.0,0,0
126,422,42,381.0,0,0
127,425,42,384.0,0,0
128,428,42,387.0,0,0
129,431,42,390.0,0,0
130,434,42,393.0,0,0
131,437,42,396.0,0,0
132,440,42,399.0,0,0
133,443,42,402.0,0,0
134,446,42,405.0,0,0
135,449,42,408.0,0,0
136,452,42,411.0,0,0
137,455,42,414.0,0,0
138,458,42,417.0,0,0
139,461,42,420.0,0,0
140,464,42,423.0,0,0
141,467,42,426.0,0,0
142,470,42,429.0,0,0
143,473,42,432.0,0,0
144,476,42,435.0,0,0
145,479,42,438.0,0,0
146,482,42,441.0,0,0
147,485,42,444.0,0,0
148,488,42,447.0,0,0
149,491,42,450.0,0,0
150,494,42,453.0,0,0
151,497,42,456.0,0,0
152,500,42,459.0,0,0
153,503,42,462.0,0,0
154,506,42,465.0,0,0
155,509,42,468.0,0,0
156,512,42,471.0,0,0
157,515,42,474.0,0,0
158,518,42,477.0,0,0
159,521,42,480.0,0,0
160,524,42,483.0,0,0
161,527,42,486.0,0,0
162,530,42,489.0,0,0
163,533,42,492.0,0,0
164,536,42,495.0,0,0
165,539,42,498.0,0,0
166,542,42,501.0,0,0
167,545,42,504.0,0,0
168,548,42,507.0,0,0
169,551,42,510.0,0,0
170,554,42,513.0,0,0
171,557,42,516.0,0,0
172,560,42,519.0,0,0
173,563,42,522.0,0,0
174,566,42,525.0,0,0
175,569,42,528.0,0,0
